NX_A0A075B6H9-1	ENST00000390282
NX_A1L3X0-1	ENST00000508821
NX_A1L3X4-1	ENST00000463480
NX_A1L3X4-1	ENST00000486551
NX_A1L429-1	ENST00000381698
NX_A1L429-1	ENST00000405679
NX_A1L429-1	ENST00000420398
NX_A1L443-1	ENST00000253262
NX_A1L453-1	ENST00000366757
NX_A1L4H1-1	ENST00000389623
NX_A1L4H1-2	ENST00000587166
NX_A1L4K1-1	ENST00000334574
NX_A1L4K1-2	ENST00000541889
NX_A1L4L8-1	ENST00000311450
NX_A1L4Q6-1	ENST00000528390
NX_A1X283-1	ENST00000311601
NX_A1XBS5-1	ENST00000518322
NX_A1XBS5-2	ENST00000423990
NX_A1XBS5-3	ENST00000452913
NX_A1XBS5-4	ENST00000518116
NX_A1XBS5-5	ENST00000523577
NX_A1YPR0-1	ENST00000535628
NX_A1YPR0-1	ENST00000586438
NX_A1YPR0-1	ENST00000588982
NX_A1YPR0-1	ENST00000590800
NX_A1Z1Q3-2	ENST00000217246
NX_A1Z1Q3-4	ENST00000378058
NX_A1Z1Q3-4	ENST00000402914
NX_A1Z1Q3-5	ENST00000217246
NX_A1Z1Q3-6	ENST00000407045
NX_A2A288-1	ENST00000409806
NX_A2A2V5-1	ENST00000315190
NX_A2A2Y4-1	ENST00000304195
NX_A2A2Y4-2	ENST00000376438
NX_A2A2Y4-3	ENST00000376434
NX_A2A2Y4-4	ENST00000328788
NX_A2A2Y4-5	ENST00000621208
NX_A2A2Z9-1	ENST00000290943
NX_A2A368-1	ENST00000399985
NX_A2A368-1	ENST00000399987
NX_A2A368-1	ENST00000399988
NX_A2A368-1	ENST00000399989
NX_A2A368-1	ENST00000399992
NX_A2A3K4-1	ENST00000375360
NX_A2A3K4-2	ENST00000288976
NX_A2A3L6-1	ENST00000368236
NX_A2A3L6-1	ENST00000368237
NX_A2A3N6-1	ENST00000480546
NX_A2A3N6-1	ENST00000489875
NX_A2AJT9-1	ENST00000379682
NX_A2AJT9-2	ENST00000379687
NX_A2CJ06-1	ENST00000452335
NX_A2IDD5-1	ENST00000293889
NX_A2IDD5-2	ENST00000463539
NX_A2IDD5-2	ENST00000538176
NX_A2IDD5-4	ENST00000439619
NX_A2IDD5-4	ENST00000485091
NX_A2IDD5-5	ENST00000482878
NX_A2IDD5-6	ENST00000460023
NX_A2PYH4-1	ENST00000370425
NX_A2PYH4-2	ENST00000462405
NX_A2RRD8-1	ENST00000391781
NX_A2RRD8-1	ENST00000595635
NX_A2RRH5-2	ENST00000423258
NX_A2RRH5-3	ENST00000546953
NX_A2RRH5-4	ENST00000448612
NX_A2RRL7-1	ENST00000442682
NX_A2RRL7-2	ENST00000458494
NX_A2RRL7-3	ENST00000397602
NX_A2RRL7-4	ENST00000413208
NX_A2RRP1-1	ENST00000281513
NX_A2RTX5-1	ENST00000335968
NX_A2RTY3-1	ENST00000604834
NX_A2RTY3-2	ENST00000604400
NX_A2RTY3-3	ENST00000603870
NX_A2RTY3-4	ENST00000603852
NX_A2RTY3-5	ENST00000605080
NX_A2RU14-1	ENST00000279968
NX_A2RU14-1	ENST00000526175
NX_A2RU14-1	ENST00000527271
NX_A2RU14-1	ENST00000527766
NX_A2RU14-1	ENST00000529583
NX_A2RU14-1	ENST00000531909
NX_A2RU14-1	ENST00000532407
NX_A2RU30-1	ENST00000316577
NX_A2RU30-1	ENST00000449076
NX_A2RU30-2	ENST00000316577
NX_A2RU30-2	ENST00000449076
NX_A2RU30-2	ENST00000524622
NX_A2RU30-2	ENST00000531122
NX_A2RU30-2	ENST00000532804
NX_A2RU37-1	ENST00000623052
NX_A2RU48-1	ENST00000316048
NX_A2RU49-1	ENST00000388988
NX_A2RU49-1	ENST00000569878
NX_A2RU49-2	ENST00000566289
NX_A2RU49-3	ENST00000408962
NX_A2RU49-3	ENST00000563233
NX_A2RU54-1	ENST00000339992
NX_A2RU67-1	ENST00000197268
NX_A2RU67-1	ENST00000416494
NX_A2RUB1-1	ENST00000409464
NX_A2RUB1-2	ENST00000409122
NX_A2RUB1-4	ENST00000409122
NX_A2RUB6-1	ENST00000394672
NX_A2RUB6-2	ENST00000442522
NX_A2RUB6-3	ENST00000326595
NX_A2RUB6-3	ENST00000394672
NX_A2RUB6-4	ENST00000341455
NX_A2RUB6-4	ENST00000434467
NX_A2RUB6-4	ENST00000460838
NX_A2RUC4-1	ENST00000354611
NX_A2RUC4-2	ENST00000354611
NX_A2RUC4-2	ENST00000483328
NX_A2RUG3-1	ENST00000623874
NX_A2RUH7-1	ENST00000357155
NX_A2RUQ5-1	ENST00000623254
NX_A2RUR9-1	ENST00000360524
NX_A2RUR9-2	ENST00000470068
NX_A2RUS2-1	ENST00000262585
NX_A2RUS2-1	ENST00000519811
NX_A2RUS2-2	ENST00000424248
NX_A2RUS2-2	ENST00000518668
NX_A2RUS2-3	ENST00000517813
NX_A2RUS2-4	ENST00000518198
NX_A2RUS2-4	ENST00000518347
NX_A2RUT3-1	ENST00000330862
NX_A2RUU4-1	ENST00000373861
NX_A2VCK2-1	ENST00000409358
NX_A2VCL2-1	ENST00000422819
NX_A2VCL2-2	ENST00000429614
NX_A2VDF0-1	ENST00000278025
NX_A2VDF0-2	ENST00000368552
NX_A2VDJ0-1	ENST00000409663
NX_A2VDJ0-5	ENST00000409959
NX_A2VDJ0-6	ENST00000409959
NX_A2VEC9-2	ENST00000475488
NX_A3KFT3-1	ENST00000366476
NX_A3KMH1-1	ENST00000379310
NX_A3KMH1-2	ENST00000281496
NX_A3KN83-1	ENST00000420886
NX_A3KN83-1	ENST00000602398
NX_A3KN83-2	ENST00000267176
NX_A3QJZ7-1	ENST00000436041
NX_A4D0S4-1	ENST00000205386
NX_A4D0S4-1	ENST00000388781
NX_A4D0T2-1	ENST00000624695
NX_A4D0T7-1	ENST00000397764
NX_A4D0T7-1	ENST00000441359
NX_A4D0V7-1	ENST00000310396
NX_A4D0V7-2	ENST00000450913
NX_A4D0Y5-1	ENST00000616258
NX_A4D126-1	ENST00000407010
NX_A4D126-2	ENST00000399310
NX_A4D161-1	ENST00000344962
NX_A4D161-2	ENST00000409192
NX_A4D161-3	ENST00000409994
NX_A4D174-1	ENST00000409974
NX_A4D174-1	ENST00000614528
NX_A4D1B5-1	ENST00000257626
NX_A4D1B5-4	ENST00000257626
NX_A4D1B5-4	ENST00000449779
NX_A4D1B5-4	ENST00000491796
NX_A4D1E1-1	ENST00000333190
NX_A4D1E9-1	ENST00000222511
NX_A4D1E9-2	ENST00000257659
NX_A4D1E9-3	ENST00000380058
NX_A4D1F6-1	ENST00000430130
NX_A4D1F6-1	ENST00000458448
NX_A4D1F6-2	ENST00000343318
NX_A4D1N5-1	ENST00000332558
NX_A4D1P6-1	ENST00000354475
NX_A4D1P6-3	ENST00000466182
NX_A4D1S0-1	ENST00000340940
NX_A4D1S0-2	ENST00000393039
NX_A4D1S5-1	ENST00000356407
NX_A4D1S5-1	ENST00000537763
NX_A4D1T9-1	ENST00000350549
NX_A4D1T9-1	ENST00000438520
NX_A4D1U4-1	ENST00000536163
NX_A4D1Z8-1	ENST00000614228
NX_A4D250-1	ENST00000378120
NX_A4D250-1	ENST00000616210
NX_A4D263-1	ENST00000297001
NX_A4D2B0-1	ENST00000398075
NX_A4D2G3-1	ENST00000408898
NX_A4D2H0-1	ENST00000420911
NX_A4D2P6-1	ENST00000457091
NX_A4FU01-1	ENST00000439741
NX_A4FU01-2	ENST00000492824
NX_A4FU01-3	ENST00000482025
NX_A4FU01-3	ENST00000492824
NX_A4FU01-4	ENST00000369140
NX_A4FU01-5	ENST00000482343
NX_A4FU28-1	ENST00000314099
NX_A4FU49-3	ENST00000453908
NX_A4FU49-3	ENST00000505871
NX_A4FU49-4	ENST00000480549
NX_A4FU49-6	ENST00000453908
NX_A4FU69-1	ENST00000394835
NX_A4FU69-2	ENST00000440741
NX_A4FU69-5	ENST00000536908
NX_A4FU69-6	ENST00000423598
NX_A4FU69-6	ENST00000536908
NX_A4GXA9-1	ENST00000568449
NX_A4GXA9-2	ENST00000570069
NX_A4IF30-1	ENST00000339762
NX_A4IF30-2	ENST00000339762
NX_A4IF30-2	ENST00000554729
NX_A4IF30-2	ENST00000556826
NX_A4QMS7-1	ENST00000399810
NX_A4QN01-1	ENST00000430888
NX_A4QN01-1	ENST00000444900
NX_A4QN01-1	ENST00000521074
NX_A4QPB2-1	ENST00000402785
NX_A4QPB2-1	ENST00000402859
NX_A4QPB2-1	ENST00000610821
NX_A4QPB2-2	ENST00000444995
NX_A4QPH2-1	ENST00000360806
NX_A4QPH2-2	ENST00000467443
NX_A4QPH2-2	ENST00000479693
NX_A4QPH2-2	ENST00000480319
NX_A4UGR9-1	ENST00000409195
NX_A4UGR9-1	ENST00000628543
NX_A4UGR9-2	ENST00000409195
NX_A4UGR9-2	ENST00000409273
NX_A4UGR9-2	ENST00000628543
NX_A4UGR9-4	ENST00000409043
NX_A4UGR9-5	ENST00000409043
NX_A4UGR9-6	ENST00000409728
NX_A4UGR9-7	ENST00000409043
NX_A4UGR9-7	ENST00000409605
NX_A4UGR9-7	ENST00000409728
NX_A4UGR9-8	ENST00000409195
NX_A5A3E0-1	ENST00000409914
NX_A5D6W6-1	ENST00000267426
NX_A5D6W6-2	ENST00000267426
NX_A5D6W6-2	ENST00000559294
NX_A5D8T8-1	ENST00000288040
NX_A5D8T8-1	ENST00000393701
NX_A5D8T8-1	ENST00000568461
NX_A5D8T8-1	ENST00000615430
NX_A5D8T8-2	ENST00000568102
NX_A5D8V6-1	ENST00000301765
NX_A5D8V7-1	ENST00000356392
NX_A5D8V7-2	ENST00000586836
NX_A5D8W1-1	ENST00000389297
NX_A5D8W1-3	ENST00000451029
NX_A5D8W1-5	ENST00000497910
NX_A5LHX3-1	ENST00000408907
NX_A5PKW4-1	ENST00000020673
NX_A5PKW4-1	ENST00000406432
NX_A5PKW4-2	ENST00000020673
NX_A5PKW4-2	ENST00000406432
NX_A5PKW4-2	ENST00000611678
NX_A5PL33-1	ENST00000319551
NX_A5PL33-2	ENST00000496259
NX_A5PL33-3	ENST00000485033
NX_A5PLK6-1	ENST00000294854
NX_A5PLK6-2	ENST00000294854
NX_A5PLK6-3	ENST00000294854
NX_A5PLK6-3	ENST00000415960
NX_A5PLK6-4	ENST00000436031
NX_A5PLK6-5	ENST00000443996
NX_A5PLK6-6	ENST00000367561
NX_A5PLL1-1	ENST00000338682
NX_A5PLL7-1	ENST00000371652
NX_A5PLL7-2	ENST00000371650
NX_A5PLN7-1	ENST00000356371
NX_A5PLN7-2	ENST00000227065
NX_A5PLN7-2	ENST00000356371
NX_A5PLN7-2	ENST00000502970
NX_A5PLN7-2	ENST00000503432
NX_A5PLN7-2	ENST00000514153
NX_A5PLN9-1	ENST00000399438
NX_A5PLN9-2	ENST00000231526
NX_A5PLN9-4	ENST00000505553
NX_A5PLN9-5	ENST00000438419
NX_A5PLN9-7	ENST00000512009
NX_A5X5Y0-1	ENST00000415389
NX_A5X5Y0-2	ENST00000425359
NX_A5X5Y0-3	ENST00000335304
NX_A5X5Y0-4	ENST00000436361
NX_A5X5Y0-6	ENST00000440596
NX_A5YKK6-1	ENST00000317147
NX_A5YKK6-2	ENST00000569240
NX_A5YKK6-3	ENST00000567188
NX_A5YKK6-4	ENST00000441024
NX_A5YM69-1	ENST00000378115
NX_A5YM72-1	ENST00000307823
NX_A5YM72-1	ENST00000445895
NX_A5YM72-1	ENST00000531388
NX_A5YM72-2	ENST00000307823
NX_A5YM72-2	ENST00000445895
NX_A5YM72-2	ENST00000531040
NX_A5YM72-2	ENST00000531388
NX_A5YM72-3	ENST00000531388
NX_A5YM72-4	ENST00000531040
NX_A5YM72-5	ENST00000445895
NX_A6BM72-1	ENST00000409699
NX_A6BM72-1	ENST00000422354
NX_A6BM72-2	ENST00000288745
NX_A6BM72-4	ENST00000478721
NX_A6H8M9-1	ENST00000412678
NX_A6H8M9-2	ENST00000343366
NX_A6H8Y1-1	ENST00000358731
NX_A6H8Y1-2	ENST00000508917
NX_A6H8Y1-8	ENST00000514903
NX_A6H8Z2-1	ENST00000423537
NX_A6H8Z2-2	ENST00000388950
NX_A6H8Z2-3	ENST00000388950
NX_A6NC05-1	ENST00000535381
NX_A6NC05-1	ENST00000606937
NX_A6NC05-2	ENST00000296662
NX_A6NC42-1	ENST00000370370
NX_A6NC51-1	ENST00000326652
NX_A6NC57-1	ENST00000587848
NX_A6NC57-2	ENST00000587848
NX_A6NC62-1	ENST00000498308
NX_A6NC86-1	ENST00000599207
NX_A6NC86-1	ENST00000612042
NX_A6NC86-2	ENST00000612042
NX_A6NC86-3	ENST00000244321
NX_A6NC86-4	ENST00000562255
NX_A6NC86-4	ENST00000562365
NX_A6NC86-4	ENST00000569031
NX_A6NC86-4	ENST00000599207
NX_A6NC86-4	ENST00000612042
NX_A6NC97-1	ENST00000487497
NX_A6NC98-1	ENST00000356786
NX_A6NC98-3	ENST00000494566
NX_A6NC98-5	ENST00000359902
NX_A6NC98-6	ENST00000301897
NX_A6NC98-6	ENST00000473405
NX_A6NCC3-2	ENST00000509311
NX_A6NCE7-1	ENST00000556529
NX_A6NCF5-1	ENST00000344581
NX_A6NCF5-1	ENST00000636854
NX_A6NCI4-1	ENST00000389398
NX_A6NCI4-3	ENST00000299840
NX_A6NCI4-3	ENST00000389398
NX_A6NCI4-4	ENST00000563755
NX_A6NCI5-1	ENST00000367355
NX_A6NCI8-1	ENST00000409561
NX_A6NCJ1-1	ENST00000329493
NX_A6NCK2-1	ENST00000432468
NX_A6NCL1-1	ENST00000442080
NX_A6NCL2-1	ENST00000376608
NX_A6NCL7-1	ENST00000296657
NX_A6NCM1-1	ENST00000615129
NX_A6NCN2-1	ENST00000529785
NX_A6NCN2-1	ENST00000534226
NX_A6NCQ9-1	ENST00000344001
NX_A6NCQ9-1	ENST00000399398
NX_A6NCS4-1	ENST00000325017
NX_A6NCS6-1	ENST00000373640
NX_A6NCV1-1	ENST00000343870
NX_A6NCW0-1	ENST00000530484
NX_A6NCW3-1	ENST00000600179
NX_A6NCW7-1	ENST00000526929
NX_A6ND01-1	ENST00000328458
NX_A6ND01-2	ENST00000440961
NX_A6ND36-1	ENST00000345041
NX_A6ND36-1	ENST00000388995
NX_A6ND36-2	ENST00000399096
NX_A6ND48-1	ENST00000342623
NX_A6ND91-1	ENST00000389208
NX_A6ND91-2	ENST00000376916
NX_A6NDA9-1	ENST00000372113
NX_A6NDA9-2	ENST00000538192
NX_A6NDB9-1	ENST00000340790
NX_A6NDD5-1	ENST00000331628
NX_A6NDD5-1	ENST00000554823
NX_A6NDE4-1	ENST00000383020
NX_A6NDE8-1	ENST00000381722
NX_A6NDG6-1	ENST00000333503
NX_A6NDH6-1	ENST00000356526
NX_A6NDI0-1	ENST00000332682
NX_A6NDI0-1	ENST00000622138
NX_A6NDK9-1	ENST00000300576
NX_A6NDL8-1	ENST00000548615
NX_A6NDN3-1	ENST00000421285
NX_A6NDP7-1	ENST00000409745
NX_A6NDS4-1	ENST00000611257
NX_A6NDU8-1	ENST00000381647
NX_A6NDV4-1	ENST00000377988
NX_A6NDV4-1	ENST00000377991
NX_A6NDV4-2	ENST00000377996
NX_A6NDV4-2	ENST00000439587
NX_A6NDY0-1	ENST00000419291
NX_A6NDY0-2	ENST00000411789
NX_A6NDY2-1	ENST00000530206
NX_A6NDZ8-1	ENST00000381394
NX_A6NE01-1	ENST00000327337
NX_A6NE02-1	ENST00000375366
NX_A6NE21-1	ENST00000527117
NX_A6NE21-1	ENST00000533611
NX_A6NE52-1	ENST00000323662
NX_A6NE52-2	ENST00000534167
NX_A6NE82-1	ENST00000333843
NX_A6NEC2-3	ENST00000620148
NX_A6NED2-1	ENST00000394258
NX_A6NED2-1	ENST00000556618
NX_A6NEE1-1	ENST00000322564
NX_A6NEF3-1	ENST00000510439
NX_A6NEH6-1	ENST00000434431
NX_A6NEH8-1	ENST00000425916
NX_A6NEK1-1	ENST00000381781
NX_A6NEL2-1	ENST00000334306
NX_A6NEM1-1	ENST00000618348
NX_A6NEM1-2	ENST00000618348
NX_A6NEN9-1	ENST00000374251
NX_A6NEQ0-1	ENST00000382659
NX_A6NEQ2-1	ENST00000329203
NX_A6NES4-1	ENST00000389758
NX_A6NET4-1	ENST00000383695
NX_A6NEV1-1	ENST00000383163
NX_A6NEW6-1	ENST00000526662
NX_A6NEW6-1	ENST00000533716
NX_A6NF34-1	ENST00000620264
NX_A6NF36-1	ENST00000299415
NX_A6NF83-1	ENST00000329309
NX_A6NF89-1	ENST00000358433
NX_A6NFA0-1	ENST00000603640
NX_A6NFA1-1	ENST00000606738
NX_A6NFC5-1	ENST00000421688
NX_A6NFC5-1	ENST00000551068
NX_A6NFC5-2	ENST00000374946
NX_A6NFC5-2	ENST00000550981
NX_A6NFC5-3	ENST00000586400
NX_A6NFC9-1	ENST00000366492
NX_A6NFC9-1	ENST00000522351
NX_A6NFD8-3	ENST00000515777
NX_A6NFD8-4	ENST00000505610
NX_A6NFE2-1	ENST00000416383
NX_A6NFE2-1	ENST00000535986
NX_A6NFE3-1	ENST00000480514
NX_A6NFF2-1	ENST00000373518
NX_A6NFH5-1	ENST00000360464
NX_A6NFI3-1	ENST00000382252
NX_A6NFK2-1	ENST00000377976
NX_A6NFN3-1	ENST00000580155
NX_A6NFN3-2	ENST00000584778
NX_A6NFN9-2	ENST00000462519
NX_A6NFQ2-1	ENST00000441159
NX_A6NFQ2-2	ENST00000357344
NX_A6NFQ2-2	ENST00000444908
NX_A6NFQ2-3	ENST00000411935
NX_A6NFQ2-3	ENST00000425618
NX_A6NFQ7-1	ENST00000376650
NX_A6NFT4-1	ENST00000335621
NX_A6NFU0-1	ENST00000331733
NX_A6NFU8-1	ENST00000378919
NX_A6NFU8-2	ENST00000378919
NX_A6NFU8-2	ENST00000535714
NX_A6NFX1-1	ENST00000406420
NX_A6NFY4-1	ENST00000409150
NX_A6NFY4-2	ENST00000414176
NX_A6NFY7-1	ENST00000378887
NX_A6NFZ4-1	ENST00000368894
NX_A6NG13-1	ENST00000511113
NX_A6NGA9-1	ENST00000341689
NX_A6NGB0-1	ENST00000621561
NX_A6NGB7-1	ENST00000341130
NX_A6NGB9-1	ENST00000242140
NX_A6NGB9-1	ENST00000409290
NX_A6NGC4-1	ENST00000330676
NX_A6NGD5-1	ENST00000376267
NX_A6NGD5-1	ENST00000534327
NX_A6NGE4-1	ENST00000441525
NX_A6NGE7-1	ENST00000332715
NX_A6NGG3-1	ENST00000380683
NX_A6NGG3-1	ENST00000380685
NX_A6NGG3-2	ENST00000380683
NX_A6NGG8-1	ENST00000331664
