biosequence_name	is_covering	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
O60235	C	canonical	  1.000	  1.000	5	  1.836	4	4	4q13.2	68686594	68749750	-			O60235	11	2				TM11D_HUMAN Transmembrane protease serine 11D OS=Homo sapiens GN=TMPRSS11D PE=1 SV=1 CONCAT=3	Homo sapiens
Q6P531	C	canonical	  1.000	  1.000	27	  9.913	4	17	17p13.2	4460222	4463876	-			Q6P531	12	5				GGT6_HUMAN Gamma-glutamyltransferase 6 OS=Homo sapiens GN=GGT6 PE=2 SV=2 CONCAT=3	Homo sapiens
O15498	C	canonical	  1.000	  1.000	2	  0.839	2	7	7p13	44240648	44253893	+			O15498	13	2				YKT6_HUMAN Synaptobrevin homolog YKT6 OS=Homo sapiens GN=YKT6 PE=1 SV=1 CONCAT=4	Homo sapiens
P20073	C	canonical	  1.000	  1.000	78	 22.910	19	10	10q22.2	75135203	75173825	-			P20073	14	4				ANXA7_HUMAN Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3 CONCAT=2	Homo sapiens
O95084	C	canonical	  1.000	  1.000	2	  0.587	2	11	11q14.2	86511282	86522275	+			O95084	15	2				PRS23_HUMAN Serine protease 23 OS=Homo sapiens GN=PRSS23 PE=1 SV=1 CONCAT=6	Homo sapiens
P53396	C	canonical	  1.000	  1.000	9	  0.839	2	17	17q21.2	40023161	40075240	-			P53396	16	5				ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3 CONCAT=2	Homo sapiens
O94985	C	canonical	  1.000	  1.000	17	  2.219	4	1	1p36.22	9789086	9884042	-			O94985	17	4				CSTN1_HUMAN Calsyntenin-1 OS=Homo sapiens GN=CLSTN1 PE=1 SV=1 CONCAT=14	Homo sapiens
Q15435	C	canonical	  1.000	  1.000	5	  1.399	2	2	2q37.3	242089437	242123067	+			Q15435	18	9				PP1R7_HUMAN Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens GN=PPP1R7 PE=1 SV=1 CONCAT=2	Homo sapiens
Q15084	C	canonical	  1.000	  1.000	4	  1.237	2	2	2p25.1	10923517	10952970	-			Q15084	19	5				PDIA6_HUMAN Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1 CONCAT=7	Homo sapiens
P52434	C	canonical	  1.000	  1.000	2	  1.305	2	3	3q27.1	184081194	184086363	+			P52434	20	5				RPAB3_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Homo sapiens GN=POLR2H PE=1 SV=4 CONCAT=2	Homo sapiens
P99999	C	canonical	  1.000	  1.000	24	 23.497	6	7	7p15.3	25159710	25164980	-			P99999	21	3				CYC_HUMAN Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2 CONCAT=5	Homo sapiens
P56134	C	canonical	  1.000	  1.000	5	  7.343	2	7	7q22.1	99055818	99063954	-			P56134	22	8				ATPK_HUMAN ATP synthase subunit f, mitochondrial OS=Homo sapiens GN=ATP5J2 PE=1 SV=3 CONCAT=2	Homo sapiens
P83731	C	canonical	  1.000	  1.000	2	  1.305	2	3	3q12.3	101399936	101405626	-			P83731	23	3				RL24_HUMAN 60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1 CONCAT=1	Homo sapiens
P08962	C	canonical	  1.000	  1.000	9	  5.874	2	12	12q13.2	56119271	56123004	-			P08962	24	8				CD63_HUMAN CD63 antigen OS=Homo sapiens GN=CD63 PE=1 SV=2 CONCAT=2	Homo sapiens
P24387	C	canonical	  1.000	  1.000	4	  1.382	4	5	5q13.3	76248538	76265299	+			P24387	25	2				CRHBP_HUMAN Corticotropin-releasing factor-binding protein OS=Homo sapiens GN=CRHBP PE=1 SV=2 CONCAT=6	Homo sapiens
P58062	C	canonical	  1.000	  1.000	2	  2.937	2	5	5q32	147691986	147695485	+			P58062	26	2				ISK7_HUMAN Serine protease inhibitor Kazal-type 7 OS=Homo sapiens GN=SPINK7 PE=1 SV=1 CONCAT=6	Homo sapiens
Q8TDQ0	C	canonical	  1.000	  1.000	87	 30.063	10	5	5q33.3	156512843	156536725	-			Q8TDQ0	27	3				HAVR2_HUMAN Hepatitis A virus cellular receptor 2 OS=Homo sapiens GN=HAVCR2 PE=1 SV=3 CONCAT=7	Homo sapiens
Q13867	C	canonical	  1.000	  1.000	3	  0.678	2	17	17q11.2	28575218	28619012	-			Q13867	28	6				BLMH_HUMAN Bleomycin hydrolase OS=Homo sapiens GN=BLMH PE=1 SV=1 CONCAT=2	Homo sapiens
Q9NQ36	C	canonical	  1.000	  1.000	10	  1.277	5	11	11p15.4	9041938	9113148	-			Q9NQ36	29	4				SCUB2_HUMAN Signal peptide, CUB and EGF-like domain-containing protein 2 OS=Homo sapiens GN=SCUBE2 PE=2 SV=2 CONCAT=11	Homo sapiens
Q9GZM5	C	canonical	  1.000	  1.000	2	  0.691	2	6	6p21.1	43479565	43484728	-			Q9GZM5	30	3				YIPF3_HUMAN Protein YIPF3 OS=Homo sapiens GN=YIPF3 PE=1 SV=1 CONCAT=4	Homo sapiens
P62847	C	canonical	  1.000	  1.000	2	  1.958	2	10	10q22.3	79793641	79800455	+			P62847	31	6				RS24_HUMAN 40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1 CONCAT=1	Homo sapiens
Q9UM54	C	canonical	  1.000	  1.000	26	  2.182	16	6	6q14.1	76459049	76626329	+			Q9UM54	32	9				MYO6_HUMAN Unconventional myosin-VI OS=Homo sapiens GN=MYO6 PE=1 SV=4 CONCAT=4	Homo sapiens
Q16836	C	canonical	  1.000	  1.000	3	  1.175	2	4	4q25	108910940	108956331	+			Q16836	33	5				HCDH_HUMAN Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens GN=HADH PE=1 SV=3 CONCAT=9	Homo sapiens
Q9Y4L1	C	canonical	  1.000	  1.000	3	  0.315	3	11	11q23.3	118914900	118927848	-			Q9Y4L1	34	6				HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1 CONCAT=6	Homo sapiens
Q9UHR4	C	canonical	  1.000	  1.000	3	  0.568	3	7	7q21.3	97920963	98030380	-			Q9UHR4	35	1				BI2L1_HUMAN Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens GN=BAIAP2L1 PE=1 SV=2 CONCAT=2	Homo sapiens
Q9BZR6	C	canonical	  1.000	  1.000	2	  0.435	2	22	22q11.21	20228938	20256054	-			Q9BZR6	36	3				RTN4R_HUMAN Reticulon-4 receptor OS=Homo sapiens GN=RTN4R PE=1 SV=1 CONCAT=10	Homo sapiens
O00204	C	canonical	  1.000	  1.000	3	  0.881	3	19	19q13.33	49055332	49102682	+			O00204	37	2				ST2B1_HUMAN Sulfotransferase family cytosolic 2B member 1 OS=Homo sapiens GN=SULT2B1 PE=1 SV=2 CONCAT=5	Homo sapiens
P98172	C	canonical	  1.000	  1.000	22	  6.154	7	X	Xq13.1	68048840	68061990	+			P98172	38	1				EFNB1_HUMAN Ephrin-B1 OS=Homo sapiens GN=EFNB1 PE=1 SV=1 CONCAT=29	Homo sapiens
P30049	C	canonical	  1.000	  1.000	2	  1.958	2	19	19p13.3	1241749	1244824	+			P30049	39	1				ATPD_HUMAN ATP synthase subunit delta, mitochondrial OS=Homo sapiens GN=ATP5D PE=1 SV=2 CONCAT=4	Homo sapiens
P14174	C	canonical	  1.000	  1.000	32	 37.596	5	22	22q11.23	24236191	24237413	+			P14174	40	1				MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4 CONCAT=2	Homo sapiens
Q96GD0	C	canonical	  1.000	  1.000	2	  0.653	2	22	22q13.1	38054734	38062941	+			Q96GD0	41	1				PLPP_HUMAN Pyridoxal phosphate phosphatase OS=Homo sapiens GN=PDXP PE=1 SV=2 CONCAT=1	Homo sapiens
P08311	C	canonical	  1.000	  1.000	13	  5.091	5	14	14q12	25042762	25045466	-			P08311	42	1				CATG_HUMAN Cathepsin G OS=Homo sapiens GN=CTSG PE=1 SV=2 CONCAT=11	Homo sapiens
Q9UBR2	C	canonical	  1.000	  1.000	66	 27.693	12	20	20q13.32	57570240	57582302	-			Q9UBR2	43	1				CATZ_HUMAN Cathepsin Z OS=Homo sapiens GN=CTSZ PE=1 SV=1 CONCAT=12	Homo sapiens
P18428	C	canonical	  1.000	  1.000	27	  8.348	8	20	20q11.23	36974759	37005665	+			P18428	44	2				LBP_HUMAN Lipopolysaccharide-binding protein OS=Homo sapiens GN=LBP PE=1 SV=3 CONCAT=21	Homo sapiens
Q9NR99	C	canonical	  1.000	  1.000	73	  2.878	39	X	Xp22.33	3226606	3264682	-			Q9NR99	45	1				MXRA5_HUMAN Matrix-remodeling-associated protein 5 OS=Homo sapiens GN=MXRA5 PE=2 SV=3 CONCAT=14	Homo sapiens
O75695	C	canonical	  1.000	  1.000	5	  1.632	3	X	Xp11.23	46696375	46741793	+			O75695	46	1				XRP2_HUMAN Protein XRP2 OS=Homo sapiens GN=RP2 PE=1 SV=4 CONCAT=19	Homo sapiens
P31944	C	canonical	  1.000	  1.000	41	 16.057	17	19	19p13.12	15163015	15166900	+			P31944	47	1				CASPE_HUMAN Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2 CONCAT=3	Homo sapiens
O00322	C	canonical	  1.000	  1.000	4	  1.958	3	19	19q13.12	36157715	36169367	+			O00322	48	2				UPK1A_HUMAN Uroplakin-1a OS=Homo sapiens GN=UPK1A PE=2 SV=1 CONCAT=4	Homo sapiens
Q8NFZ8	C	canonical	  1.000	  1.000	253	 82.567	15	19	19q13.31	44126520	44143991	-			Q8NFZ8	49	1				CADM4_HUMAN Cell adhesion molecule 4 OS=Homo sapiens GN=CADM4 PE=1 SV=1 CONCAT=7	Homo sapiens
P28838	C	canonical	  1.000	  1.000	7	  1.209	2	4	4p15.32	17578815	17609591	+			P28838	50	3				AMPL_HUMAN Cytosol aminopeptidase OS=Homo sapiens GN=LAP3 PE=1 SV=3 CONCAT=1	Homo sapiens
P43652	C	canonical	  1.000	  1.000	195	 30.145	40	4	4q13.3	74347400	74369691	+			P43652	51	1				AFAM_HUMAN Afamin OS=Homo sapiens GN=AFM PE=1 SV=1 CONCAT=8	Homo sapiens
Q6P9A2	C	canonical	  1.000	  1.000	6	  1.175	4	11	11p15.3	11292423	11643552	-			Q6P9A2	52	1				GLT18_HUMAN Polypeptide N-acetylgalactosaminyltransferase 18 OS=Homo sapiens GN=GALNT18 PE=2 SV=2 CONCAT=1	Homo sapiens
P62277	C	canonical	  1.000	  1.000	2	  1.305	2	11	11p15.1	17095936	17099334	-			P62277	53	2				RS13_HUMAN 40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2 CONCAT=2	Homo sapiens
P21128	C	canonical	  1.000	  1.000	2	  0.490	2	12	12q13.11	48103517	48119350	-			P21128	54	3				ENDOU_HUMAN Poly(U)-specific endoribonuclease OS=Homo sapiens GN=ENDOU PE=1 SV=2 CONCAT=8	Homo sapiens
P63313	C	canonical	  1.000	  1.000	3	  8.812	3	2	2p11.2	85132749	85133795	+			P63313	55	1				TYB10_HUMAN Thymosin beta-10 OS=Homo sapiens GN=TMSB10 PE=1 SV=2 CONCAT=4	Homo sapiens
P49591	C	canonical	  1.000	  1.000	2	  0.435	2	1	1p13.3	109756540	109780742	+			P49591	56	2				SYSC_HUMAN Serine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=SARS PE=1 SV=3 CONCAT=1	Homo sapiens
P49788	C	canonical	  1.000	  1.000	2	  0.783	2	3	3q25.32	158414681	158450485	-			P49788	57	3				TIG1_HUMAN Retinoic acid receptor responder protein 1 OS=Homo sapiens GN=RARRES1 PE=1 SV=2 CONCAT=3	Homo sapiens
P04040	C	canonical	  1.000	  1.000	29	  5.679	15	11	11p13	34460472	34493609	+			P04040	58	2				CATA_HUMAN Catalase OS=Homo sapiens GN=CAT PE=1 SV=3 CONCAT=2	Homo sapiens
P53621	C	canonical	  1.000	  1.000	4	  0.326	2	1	1q23.2	160259063	160313190	-			P53621	59	2				COPA_HUMAN Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2 CONCAT=7	Homo sapiens
P19957	C	canonical	  1.000	  1.000	13	 12.728	9	20	20q13.12	43803517	43805185	+			P19957	60	1				ELAF_HUMAN Elafin OS=Homo sapiens GN=PI3 PE=1 SV=3 CONCAT=12	Homo sapiens
Q9UL26	C	canonical	  1.000	  1.000	6	  2.937	3	20	20q13.32	56884752	56942563	+			Q9UL26	61	1				RB22A_HUMAN Ras-related protein Rab-22A OS=Homo sapiens GN=RAB22A PE=1 SV=2 CONCAT=1	Homo sapiens
P10301	C	canonical	  1.000	  1.000	8	  3.133	3	19	19q13.33	50138549	50143458	-			P10301	62	1				RRAS_HUMAN Ras-related protein R-Ras OS=Homo sapiens GN=RRAS PE=1 SV=1 CONCAT=4	Homo sapiens
Q14314	C	canonical	  1.000	  1.000	18	  5.035	11	7	7q11.23	76822688	76829143	-			Q14314	63	1				FGL2_HUMAN Fibroleukin OS=Homo sapiens GN=FGL2 PE=1 SV=1 CONCAT=7	Homo sapiens
O95450	C	canonical	  1.000	  1.000	3	  0.289	3	5	5q35.3	178537852	178772431	-			O95450	64	2				ATS2_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Homo sapiens GN=ADAMTS2 PE=2 SV=2 CONCAT=16	Homo sapiens
Q99988	C	canonical	  1.000	  1.000	28	  9.138	5	19	19p13.11	18496968	18499986	+			Q99988	65	1				GDF15_HUMAN Growth/differentiation factor 15 OS=Homo sapiens GN=GDF15 PE=1 SV=3 CONCAT=13	Homo sapiens
Q96LD4	C	canonical	  1.000	  1.000	3	  0.534	3	17	17q25.1	73870242	73874656	-			Q96LD4	66	2				TRI47_HUMAN Tripartite motif-containing protein 47 OS=Homo sapiens GN=TRIM47 PE=1 SV=2 CONCAT=2	Homo sapiens
P07307	C	canonical	  1.000	  1.000	12	  4.406	6	17	17p13.1	7004641	7018142	-			P07307	67	4				ASGR2_HUMAN Asialoglycoprotein receptor 2 OS=Homo sapiens GN=ASGR2 PE=1 SV=2 CONCAT=2	Homo sapiens
Q9Y5Y7	C	canonical	  1.000	  1.000	147	 57.569	11	11	11p15.4	10578513	10590238	-			Q9Y5Y7	68	1				LYVE1_HUMAN Lymphatic vessel endothelial hyaluronic acid receptor 1 OS=Homo sapiens GN=LYVE1 PE=1 SV=2 CONCAT=9	Homo sapiens
Q96S96	C	canonical	  1.000	  1.000	21	 12.336	6	8	8p21.3	22570769	22785421	-			Q96S96	69	1				PEBP4_HUMAN Phosphatidylethanolamine-binding protein 4 OS=Homo sapiens GN=PEBP4 PE=1 SV=3 CONCAT=8	Homo sapiens
Q96BM9	C	canonical	  1.000	  1.000	11	  6.462	3	1	1q32.1	202102532	202113869	-			Q96BM9	70	3				ARL8A_HUMAN ADP-ribosylation factor-like protein 8A OS=Homo sapiens GN=ARL8A PE=1 SV=1 CONCAT=1	Homo sapiens
P32926	C	canonical	  1.000	  1.000	19	  2.232	11	18	18q12.1	29027758	29058665	+			P32926	71	1				DSG3_HUMAN Desmoglein-3 OS=Homo sapiens GN=DSG3 PE=1 SV=2 CONCAT=11	Homo sapiens
Q08554	C	canonical	  1.000	  1.000	12	  1.469	10	18	18q12.1	28709199	28742819	-			Q08554	72	2				DSC1_HUMAN Desmocollin-1 OS=Homo sapiens GN=DSC1 PE=1 SV=2 CONCAT=12	Homo sapiens
Q9GZZ8	C	canonical	  1.000	  1.000	2	  1.958	2	12	12q13.2	55024596	55028679	-			Q9GZZ8	73	2				LACRT_HUMAN Extracellular glycoprotein lacritin OS=Homo sapiens GN=LACRT PE=1 SV=1 CONCAT=6	Homo sapiens
P36896	C	canonical	  1.000	  1.000	24	  6.130	4	12	12q13.13	52345451	52390862	+			P36896	74	6				ACV1B_HUMAN Activin receptor type-1B OS=Homo sapiens GN=ACVR1B PE=1 SV=1 CONCAT=8	Homo sapiens
P18510	C	canonical	  1.000	  1.000	18	 13.217	5	2	2q13	113875474	113891593	+			P18510	75	4				IL1RA_HUMAN Interleukin-1 receptor antagonist protein OS=Homo sapiens GN=IL1RN PE=1 SV=1 CONCAT=7	Homo sapiens
P48745	C	canonical	  1.000	  1.000	49	 14.392	9	8	8q24.12	120428546	120436593	+			P48745	76	1				NOV_HUMAN Protein NOV homolog OS=Homo sapiens GN=NOV PE=1 SV=1 CONCAT=9	Homo sapiens
P04118	C	canonical	  1.000	  1.000	3	  2.518	2	6	6p21.31	35762759	35765088	-			P04118	77	1				COL_HUMAN Colipase OS=Homo sapiens GN=CLPS PE=1 SV=2 CONCAT=13	Homo sapiens
Q9BYJ0	C	canonical	  1.000	  1.000	5	  2.448	5	4	4p15.32	15961866	15964859	-			Q9BYJ0	78	1				FGFP2_HUMAN Fibroblast growth factor-binding protein 2 OS=Homo sapiens GN=FGFBP2 PE=1 SV=1 CONCAT=10	Homo sapiens
O43692	C	canonical	  1.000	  1.000	2	  0.904	2	8	8q21.11	75736772	75767264	+			O43692	79	1				PI15_HUMAN Peptidase inhibitor 15 OS=Homo sapiens GN=PI15 PE=1 SV=1 CONCAT=10	Homo sapiens
Q9UL25	C	canonical	  1.000	  1.000	30	 13.556	6	12	12q21.1	72148654	72184699	+			Q9UL25	80	1				RAB21_HUMAN Ras-related protein Rab-21 OS=Homo sapiens GN=RAB21 PE=1 SV=3 CONCAT=5	Homo sapiens
Q86Y38	C	canonical	  1.000	  1.000	5	  0.576	2	16	16p12.3	17195626	17564738	-			Q86Y38	81	1				XYLT1_HUMAN Xylosyltransferase 1 OS=Homo sapiens GN=XYLT1 PE=1 SV=1 CONCAT=5	Homo sapiens
Q16706	C	canonical	  1.000	  1.000	69	  7.111	19	5	5q21.3	109025067	109202879	+			Q16706	82	1				MA2A1_HUMAN Alpha-mannosidase 2 OS=Homo sapiens GN=MAN2A1 PE=1 SV=2 CONCAT=1	Homo sapiens
Q9H1C7	C	canonical	  1.000	  1.000	10	 19.581	2	5	5q31.3	139554227	139623372	+			Q9H1C7	83	1				CYTM1_HUMAN Cysteine-rich and transmembrane domain-containing protein 1 OS=Homo sapiens GN=CYSTM1 PE=1 SV=1 CONCAT=3	Homo sapiens
Q8TCT8	C	canonical	  1.000	  1.000	3	  0.881	2	15	15q21.2	50999506	51058005	-			Q8TCT8	84	2				SPP2A_HUMAN Signal peptide peptidase-like 2A OS=Homo sapiens GN=SPPL2A PE=1 SV=2 CONCAT=7	Homo sapiens
O75339	C	canonical	  1.000	  1.000	32	  3.032	12	15	15q22.31	65488337	65503826	-			O75339	85	1				CILP1_HUMAN Cartilage intermediate layer protein 1 OS=Homo sapiens GN=CILP PE=1 SV=4 CONCAT=19	Homo sapiens
Q9BYE9	C	canonical	  1.000	  1.000	118	 12.161	20	5	5q35.2	175976392	176022769	+			Q9BYE9	86	1				CDHR2_HUMAN Cadherin-related family member 2 OS=Homo sapiens GN=CDHR2 PE=1 SV=2 CONCAT=15	Homo sapiens
Q9H159	C	canonical	  1.000	  1.000	7	  1.326	4	18	18q22.1	64168320	64271371	-			Q9H159	87	5				CAD19_HUMAN Cadherin-19 OS=Homo sapiens GN=CDH19 PE=2 SV=1 CONCAT=9	Homo sapiens
P02730	C	canonical	  1.000	  1.000	24	  3.439	13	17	17q21.31	42325753	42345509	-			P02730	88	2				B3AT_HUMAN Band 3 anion transport protein OS=Homo sapiens GN=SLC4A1 PE=1 SV=3 CONCAT=87	Homo sapiens
Q9BS26	C	canonical	  1.000	  1.000	4	  1.119	3	9	9q31.1	102741461	102861322	-			Q9BS26	89	1				ERP44_HUMAN Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1 CONCAT=6	Homo sapiens
P52907	C	canonical	  1.000	  1.000	11	  4.971	7	1	1p13.2	113161795	113214241	+			P52907	90	1				CAZA1_HUMAN F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3 CONCAT=2	Homo sapiens
O75936	C	canonical	  1.000	  1.000	15	  4.196	7	11	11p14.2	27062509	27149354	+			O75936	91	1				BODG_HUMAN Gamma-butyrobetaine dioxygenase OS=Homo sapiens GN=BBOX1 PE=1 SV=1 CONCAT=1	Homo sapiens
P13671	C	canonical	  1.000	  1.000	19	  2.232	10	5	5p13.1	41142336	41261540	-			P13671	92	2				CO6_HUMAN Complement component C6 OS=Homo sapiens GN=C6 PE=1 SV=3 CONCAT=9	Homo sapiens
P08246	C	canonical	  1.000	  1.000	16	  7.230	7	19	19p13.3	852291	856242	+			P08246	93	1				ELNE_HUMAN Neutrophil elastase OS=Homo sapiens GN=ELANE PE=1 SV=1 CONCAT=104	Homo sapiens
Q13835	C	canonical	  1.000	  1.000	36	  4.597	18	1	1q32.1	201252580	201302121	+			Q13835	94	2				PKP1_HUMAN Plakophilin-1 OS=Homo sapiens GN=PKP1 PE=1 SV=2 CONCAT=6	Homo sapiens
Q15223	C	canonical	  1.000	  1.000	3	  0.734	3	11	11q23.3	119531702	119599794	-			Q15223	95	3				PVRL1_HUMAN Nectin-1 OS=Homo sapiens GN=PVRL1 PE=1 SV=3 CONCAT=6	Homo sapiens
O14494	C	canonical	  1.000	  1.000	2	  1.068	2	5	5q11.2	54720682	54830797	-			O14494	96	3				LPP1_HUMAN Lipid phosphate phosphohydrolase 1 OS=Homo sapiens GN=PPAP2A PE=1 SV=1 CONCAT=1	Homo sapiens
P51884	C	canonical	  1.000	  1.000	182	 62.890	24	12	12q21.33	91496406	91505608	-			P51884	97	1				LUM_HUMAN Lumican OS=Homo sapiens GN=LUM PE=1 SV=2 CONCAT=7	Homo sapiens
P80404	C	canonical	  1.000	  1.000	10	  1.780	4	16	16p13.2	8768422	8878432	+			P80404	98	4				GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens GN=ABAT PE=1 SV=3 CONCAT=6	Homo sapiens
P31949	C	canonical	  1.000	  1.000	70	 68.534	7	1	1q21.3	152004982	152009511	-			P31949	99	1				S10AB_HUMAN Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2 CONCAT=2	Homo sapiens
P21709	C	canonical	  1.000	  1.000	10	  1.199	5	7	7q34	143088205	143105985	-			P21709	100	3				EPHA1_HUMAN Ephrin type-A receptor 1 OS=Homo sapiens GN=EPHA1 PE=1 SV=4 CONCAT=15	Homo sapiens
O94919	C	canonical	  1.000	  1.000	264	 57.438	23	11	11q21	94822974	94865809	+			O94919	101	1				ENDD1_HUMAN Endonuclease domain-containing 1 protein OS=Homo sapiens GN=ENDOD1 PE=1 SV=2 CONCAT=8	Homo sapiens
Q5SZK8	C	canonical	  1.000	  1.000	112	  4.357	35	13	13q13.3	39261266	39460074	+			Q5SZK8	102	2				FREM2_HUMAN FRAS1-related extracellular matrix protein 2 OS=Homo sapiens GN=FREM2 PE=1 SV=2 CONCAT=19	Homo sapiens
Q08629	C	canonical	  1.000	  1.000	2	  0.534	2	5	5q31.2	136314302	136834247	-			Q08629	103	1				TICN1_HUMAN Testican-1 OS=Homo sapiens GN=SPOCK1 PE=1 SV=1 CONCAT=6	Homo sapiens
Q13316	C	canonical	  1.000	  1.000	3	  0.734	2	4	4q22.1	88571459	88585513	+			Q13316	104	2				DMP1_HUMAN Dentin matrix acidic phosphoprotein 1 OS=Homo sapiens GN=DMP1 PE=1 SV=2 CONCAT=10	Homo sapiens
Q00839	C	canonical	  1.000	  1.000	6	  1.007	3	1	1q44	245016690	245027773	-			Q00839	105	4				HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6 CONCAT=3	Homo sapiens
Q9UKG1	C	canonical	  1.000	  1.000	3	  0.476	2	3	3p14.3	57261765	57307496	+			Q9UKG1	106	1				DP13A_HUMAN DCC-interacting protein 13-alpha OS=Homo sapiens GN=APPL1 PE=1 SV=1 CONCAT=4	Homo sapiens
P55291	C	canonical	  1.000	  1.000	62	  9.584	19	16	16q24.3	89238175	89261900	+			P55291	107	1				CAD15_HUMAN Cadherin-15 OS=Homo sapiens GN=CDH15 PE=1 SV=1 CONCAT=14	Homo sapiens
P28070	C	canonical	  1.000	  1.000	2	  0.979	2	1	1q21.3	151372010	151374420	+			P28070	108	1				PSB4_HUMAN Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4 CONCAT=7	Homo sapiens
