NX_A0A075B6H9-1	ENSP00000374817
NX_A0PJE2-2	ENSP00000218981
NX_A0PJE2-3	ENSP00000280056
NX_A0PJK1-1	ENSP00000379007
NX_A0PJK1-2	ENSP00000379005
NX_A0PJK1-3	ENSP00000324346
NX_A0PJK1-4	ENSP00000379008
NX_A0PJK1-5	ENSP00000401875
NX_A0PJW6-1	ENSP00000303987
NX_A0PJW8-1	ENSP00000309538
NX_A0PJX0-1	ENSP00000288861
NX_A0PJX2-1	ENSP00000217320
NX_A0PJX2-1	ENSP00000473323
NX_A0PJX4-1	ENSP00000326445
NX_A0PJX8-1	ENSP00000364938
NX_A0PJY2-1	ENSP00000411145
NX_A0PJY2-2	ENSP00000392727
NX_A0PJZ3-1	ENSP00000374268
NX_A0PK00-1	ENSP00000345152
NX_A0PK00-1	ENSP00000404991
NX_A0PK05-1	ENSP00000374234
NX_A0PK05-2	ENSP00000374234
NX_A0PK05-2	ENSP00000439911
NX_A0PK11-1	ENSP00000424711
NX_A1A4F0-1	ENSP00000413228
NX_A1A4F0-2	ENSP00000312323
NX_A1A4F0-3	ENSP00000420317
NX_A1A4F0-4	ENSP00000387918
NX_A1A4G5-1	ENSP00000373191
NX_A1A4S6-1	ENSP00000336923
NX_A1A4V9-1	ENSP00000437532
NX_A1A4V9-3	ENSP00000437532
NX_A1A4V9-3	ENSP00000457287
NX_A1A4V9-4	ENSP00000441164
NX_A1A4Y4-1	ENSP00000428220
NX_A1A519-1	ENSP00000422684
NX_A1A519-2	ENSP00000334285
NX_A1A519-2	ENSP00000482552
NX_A1A519-3	ENSP00000368873
NX_A1A519-3	ENSP00000483075
NX_A1A580-1	ENSP00000346536
NX_A1A5B4-1	ENSP00000332788
NX_A1A5C7-1	ENSP00000385028
NX_A1A5C7-2	ENSP00000369657
NX_A1A5C7-2	ENSP00000385028
NX_A1A5C7-2	ENSP00000419463
NX_A1A5C7-3	ENSP00000369657
NX_A1A5C7-3	ENSP00000385028
NX_A1A5C7-3	ENSP00000417737
NX_A1A5C7-3	ENSP00000419463
NX_A1A5C7-4	ENSP00000369653
NX_A1A5D9-1	ENSP00000373998
NX_A1A5D9-1	ENSP00000459043
NX_A1A5D9-2	ENSP00000373998
NX_A1A5D9-2	ENSP00000459043
NX_A1A5D9-2	ENSP00000461724
NX_A1E959-1	ENSP00000379401
NX_A1IGU5-1	ENSP00000328083
NX_A1KXE4-1	ENSP00000374565
NX_A1KXE4-1	ENSP00000387051
NX_A1KZ92-1	ENSP00000348645
NX_A1KZ92-3	ENSP00000429855
NX_A1L020-1	ENSP00000432845
NX_A1L0T0-1	ENSP00000263383
NX_A1L157-1	ENSP00000261177
NX_A1L157-1	ENSP00000437403
NX_A1L162-1	ENSP00000387298
NX_A1L167-1	ENSP00000382713
NX_A1L168-1	ENSP00000383474
NX_A1L170-1	ENSP00000413150
NX_A1L170-1	ENSP00000437071
NX_A1L170-2	ENSP00000413150
NX_A1L188-1	ENSP00000400184
NX_A1L190-1	ENSP00000385122
NX_A1L190-1	ENSP00000385480
NX_A1L1A6-1	ENSP00000385592
NX_A1L390-1	ENSP00000247226
NX_A1L390-2	ENSP00000450945
NX_A1L390-3	ENSP00000378183
NX_A1L3X0-1	ENSP00000402634
NX_A1L3X0-1	ENSP00000424123
NX_A1L429-1	ENSP00000371117
NX_A1L429-1	ENSP00000384214
NX_A1L429-1	ENSP00000397103
NX_A1L443-1	ENSP00000253262
NX_A1L453-1	ENSP00000355719
NX_A1L4H1-1	ENSP00000374274
NX_A1L4H1-2	ENSP00000467252
NX_A1L4K1-1	ENSP00000335651
NX_A1L4K1-2	ENSP00000444078
NX_A1L4L8-1	ENSP00000309087
NX_A1X283-1	ENSP00000309714
NX_A1XBS5-1	ENSP00000429367
NX_A1XBS5-2	ENSP00000401774
NX_A1XBS5-3	ENSP00000391671
NX_A1XBS5-4	ENSP00000428065
NX_A1YPR0-1	ENSP00000439781
NX_A1YPR0-1	ENSP00000467877
NX_A1YPR0-1	ENSP00000468254
NX_A1YPR0-1	ENSP00000468782
NX_A1Z1Q3-2	ENSP00000217246
NX_A1Z1Q3-4	ENSP00000367297
NX_A1Z1Q3-4	ENSP00000385290
NX_A1Z1Q3-5	ENSP00000217246
NX_A1Z1Q3-6	ENSP00000385516
NX_A2A288-1	ENSP00000386616
NX_A2A2V5-1	ENSP00000325776
NX_A2A2Y4-1	ENSP00000303508
NX_A2A2Y4-2	ENSP00000365621
NX_A2A2Y4-3	ENSP00000365617
NX_A2A2Y4-4	ENSP00000328615
NX_A2A2Y4-5	ENSP00000484839
NX_A2A2Z9-1	ENSP00000290943
NX_A2A368-1	ENSP00000382867
NX_A2A368-1	ENSP00000382869
NX_A2A368-1	ENSP00000382870
NX_A2A368-1	ENSP00000382871
NX_A2A368-1	ENSP00000382874
NX_A2A3K4-1	ENSP00000364509
NX_A2A3K4-2	ENSP00000288976
NX_A2A3L6-1	ENSP00000357219
NX_A2A3L6-1	ENSP00000357220
NX_A2AJT9-1	ENSP00000369004
NX_A2AJT9-2	ENSP00000369009
NX_A2CJ06-1	ENSP00000396593
NX_A2IDD5-1	ENSP00000293889
NX_A2PYH4-1	ENSP00000359454
NX_A2RRD8-1	ENSP00000375660
NX_A2RRD8-1	ENSP00000473091
NX_A2RRH5-2	ENSP00000397869
NX_A2RRH5-4	ENSP00000416289
NX_A2RRL7-1	ENSP00000390407
NX_A2RRL7-2	ENSP00000393891
NX_A2RRL7-3	ENSP00000380727
NX_A2RRL7-4	ENSP00000401570
NX_A2RRP1-1	ENSP00000281513
NX_A2RTX5-1	ENSP00000338093
NX_A2RTY3-1	ENSP00000473941
NX_A2RTY3-3	ENSP00000473760
NX_A2RTY3-4	ENSP00000474899
NX_A2RTY3-5	ENSP00000474893
NX_A2RU14-1	ENSP00000279968
NX_A2RU14-1	ENSP00000433374
NX_A2RU14-1	ENSP00000434597
NX_A2RU14-1	ENSP00000435526
NX_A2RU14-1	ENSP00000436162
NX_A2RU14-1	ENSP00000436177
NX_A2RU14-1	ENSP00000436596
NX_A2RU30-1	ENSP00000312679
NX_A2RU30-1	ENSP00000400892
NX_A2RU30-2	ENSP00000312679
NX_A2RU30-2	ENSP00000400892
NX_A2RU30-2	ENSP00000432030
NX_A2RU30-2	ENSP00000433098
NX_A2RU30-2	ENSP00000435622
NX_A2RU48-1	ENSP00000381895
NX_A2RU49-1	ENSP00000373640
NX_A2RU49-1	ENSP00000455459
NX_A2RU49-2	ENSP00000456614
NX_A2RU49-3	ENSP00000386197
NX_A2RU49-3	ENSP00000454850
NX_A2RU54-1	ENSP00000341108
NX_A2RU67-1	ENSP00000197268
NX_A2RU67-1	ENSP00000394063
NX_A2RUB1-1	ENSP00000386586
NX_A2RUB1-2	ENSP00000386452
NX_A2RUB1-4	ENSP00000386452
NX_A2RUB6-1	ENSP00000378167
NX_A2RUB6-3	ENSP00000326050
NX_A2RUB6-3	ENSP00000378167
NX_A2RUB6-4	ENSP00000343840
NX_A2RUB6-4	ENSP00000394704
NX_A2RUC4-1	ENSP00000346627
NX_A2RUC4-2	ENSP00000346627
NX_A2RUC4-2	ENSP00000420024
NX_A2RUH7-1	ENSP00000349678
NX_A2RUR9-1	ENSP00000353717
NX_A2RUS2-1	ENSP00000262585
NX_A2RUS2-1	ENSP00000428714
NX_A2RUS2-2	ENSP00000410594
NX_A2RUS2-2	ENSP00000428276
NX_A2RUS2-4	ENSP00000428641
NX_A2RUS2-4	ENSP00000430695
NX_A2RUT3-1	ENSP00000329557
NX_A2RUU4-1	ENSP00000362968
NX_A2VCK2-1	ENSP00000386870
NX_A2VDF0-1	ENSP00000278025
NX_A2VDF0-2	ENSP00000357540
NX_A2VDJ0-1	ENSP00000386574
NX_A2VDJ0-5	ENSP00000386787
NX_A2VDJ0-6	ENSP00000386787
NX_A3KFT3-1	ENSP00000355432
NX_A3KMH1-1	ENSP00000368612
NX_A3KMH1-2	ENSP00000281496
NX_A3KN83-1	ENSP00000387361
NX_A3KN83-1	ENSP00000473665
NX_A3KN83-2	ENSP00000267176
NX_A3QJZ7-1	ENSP00000393136
NX_A4D0S4-1	ENSP00000205386
NX_A4D0S4-1	ENSP00000373433
NX_A4D0T7-1	ENSP00000490064
NX_A4D0T7-1	ENSP00000490095
NX_A4D0V7-1	ENSP00000309772
NX_A4D0V7-2	ENSP00000406122
NX_A4D0Y5-1	ENSP00000480627
NX_A4D126-1	ENSP00000385478
NX_A4D126-2	ENSP00000382249
NX_A4D161-1	ENSP00000342576
NX_A4D161-2	ENSP00000386927
NX_A4D161-3	ENSP00000386631
NX_A4D1B5-1	ENSP00000257626
NX_A4D1B5-4	ENSP00000257626
NX_A4D1E1-1	ENSP00000329638
NX_A4D1E9-1	ENSP00000222511
NX_A4D1E9-2	ENSP00000257659
NX_A4D1E9-3	ENSP00000369398
NX_A4D1F6-1	ENSP00000405987
NX_A4D1F6-1	ENSP00000411568
NX_A4D1F6-2	ENSP00000339642
NX_A4D1P6-1	ENSP00000346466
NX_A4D1S0-1	ENSP00000339356
NX_A4D1S0-2	ENSP00000376759
NX_A4D1S5-1	ENSP00000348778
NX_A4D1S5-1	ENSP00000440167
NX_A4D1T9-1	ENSP00000297767
NX_A4D1T9-1	ENSP00000414461
NX_A4D1U4-1	ENSP00000445768
NX_A4D1Z8-1	ENSP00000481185
NX_A4D250-1	ENSP00000367360
NX_A4D250-1	ENSP00000484754
NX_A4D263-1	ENSP00000297001
NX_A4D2B0-1	ENSP00000381150
NX_A4D2G3-1	ENSP00000386167
NX_A4D2H0-1	ENSP00000474204
NX_A4D2P6-1	ENSP00000397351
NX_A4FU01-1	ENSP00000391668
NX_A4FU01-4	ENSP00000358136
NX_A4FU28-1	ENSP00000395587
NX_A4FU49-3	ENSP00000403476
NX_A4FU49-3	ENSP00000421294
NX_A4FU49-4	ENSP00000425484
NX_A4FU49-6	ENSP00000403476
NX_A4FU69-1	ENSP00000378312
NX_A4FU69-2	ENSP00000393095
NX_A4FU69-5	ENSP00000440619
NX_A4FU69-6	ENSP00000392831
NX_A4FU69-6	ENSP00000440619
NX_A4GXA9-1	ENSP00000457353
NX_A4IF30-1	ENSP00000342518
NX_A4IF30-2	ENSP00000342518
NX_A4IF30-2	ENSP00000451990
NX_A4IF30-2	ENSP00000452086
NX_A4QMS7-1	ENSP00000382708
NX_A4QPB2-1	ENSP00000384291
NX_A4QPB2-1	ENSP00000384562
NX_A4QPB2-1	ENSP00000482378
NX_A4QPB2-2	ENSP00000407283
NX_A4UGR9-1	ENSP00000386840
NX_A4UGR9-1	ENSP00000486198
NX_A4UGR9-2	ENSP00000386840
NX_A4UGR9-2	ENSP00000387255
NX_A4UGR9-2	ENSP00000486198
NX_A4UGR9-4	ENSP00000386454
NX_A4UGR9-5	ENSP00000386454
NX_A4UGR9-6	ENSP00000386619
NX_A4UGR9-7	ENSP00000386454
NX_A4UGR9-7	ENSP00000386619
NX_A4UGR9-7	ENSP00000386981
NX_A4UGR9-8	ENSP00000386840
NX_A5A3E0-1	ENSP00000386786
NX_A5D6W6-1	ENSP00000267426
NX_A5D6W6-2	ENSP00000267426
NX_A5D6W6-2	ENSP00000453741
NX_A5D8T8-1	ENSP00000288040
NX_A5D8T8-1	ENSP00000377304
NX_A5D8T8-1	ENSP00000454685
NX_A5D8T8-1	ENSP00000484176
NX_A5D8V6-1	ENSP00000301765
NX_A5D8V7-1	ENSP00000348757
NX_A5D8V7-2	ENSP00000467429
NX_A5D8W1-1	ENSP00000373948
NX_A5D8W1-3	ENSP00000411234
NX_A5D8W1-5	ENSP00000419549
NX_A5LHX3-1	ENSP00000386212
NX_A5PKW4-1	ENSP00000020673
NX_A5PKW4-1	ENSP00000384830
NX_A5PKW4-2	ENSP00000020673
NX_A5PKW4-2	ENSP00000384830
NX_A5PKW4-2	ENSP00000481250
NX_A5PL33-1	ENSP00000317165
NX_A5PL33-2	ENSP00000418647
NX_A5PL33-3	ENSP00000420112
NX_A5PLK6-1	ENSP00000457748
NX_A5PLK6-2	ENSP00000457748
NX_A5PLK6-3	ENSP00000454954
NX_A5PLK6-3	ENSP00000457748
NX_A5PLK6-5	ENSP00000457491
NX_A5PLL1-1	ENSP00000339802
NX_A5PLL7-1	ENSP00000360715
NX_A5PLL7-2	ENSP00000360713
NX_A5PLN7-1	ENSP00000348732
NX_A5PLN7-2	ENSP00000227065
NX_A5PLN7-2	ENSP00000348732
NX_A5PLN7-2	ENSP00000424380
NX_A5PLN7-2	ENSP00000426835
NX_A5PLN7-2	ENSP00000427155
NX_A5PLN9-1	ENSP00000382367
NX_A5PLN9-2	ENSP00000231526
NX_A5PLN9-4	ENSP00000423405
NX_A5PLN9-5	ENSP00000409231
NX_A5X5Y0-1	ENSP00000401444
NX_A5X5Y0-2	ENSP00000401900
NX_A5X5Y0-3	ENSP00000335511
NX_A5X5Y0-4	ENSP00000395833
NX_A5X5Y0-6	ENSP00000406050
NX_A5YKK6-1	ENSP00000320949
NX_A5YKK6-2	ENSP00000455635
NX_A5YKK6-3	ENSP00000456649
NX_A5YKK6-4	ENSP00000413113
NX_A5YM69-1	ENSP00000367355
NX_A5YM72-1	ENSP00000308268
NX_A5YM72-1	ENSP00000389009
NX_A5YM72-2	ENSP00000308268
NX_A5YM72-2	ENSP00000389009
NX_A5YM72-2	ENSP00000431670
NX_A5YM72-4	ENSP00000431670
NX_A5YM72-5	ENSP00000389009
NX_A6BM72-1	ENSP00000386908
NX_A6BM72-1	ENSP00000414475
NX_A6BM72-2	ENSP00000288745
NX_A6H8M9-1	ENSP00000391409
NX_A6H8M9-2	ENSP00000341302
NX_A6H8Y1-1	ENSP00000351575
NX_A6H8Y1-8	ENSP00000421910
NX_A6H8Z2-1	ENSP00000415299
NX_A6H8Z2-2	ENSP00000373602
NX_A6H8Z2-3	ENSP00000373602
NX_A6NC05-1	ENSP00000454153
NX_A6NC05-1	ENSP00000475810
NX_A6NC05-2	ENSP00000453964
NX_A6NC42-1	ENSP00000359396
NX_A6NC51-1	ENSP00000320757
NX_A6NC57-1	ENSP00000467740
NX_A6NC57-2	ENSP00000467740
NX_A6NC86-1	ENSP00000469886
NX_A6NC86-1	ENSP00000479240
NX_A6NC86-2	ENSP00000479240
NX_A6NC86-4	ENSP00000456310
NX_A6NC86-4	ENSP00000457369
NX_A6NC86-4	ENSP00000457623
NX_A6NC86-4	ENSP00000469886
NX_A6NC86-4	ENSP00000479240
NX_A6NC98-1	ENSP00000349238
NX_A6NC98-5	ENSP00000352974
NX_A6NC98-6	ENSP00000301897
NX_A6NCC3-2	ENSP00000423159
NX_A6NCE7-1	ENSP00000450524
NX_A6NCF5-1	ENSP00000341549
NX_A6NCF5-1	ENSP00000490040
NX_A6NCI4-1	ENSP00000374049
NX_A6NCI4-3	ENSP00000299840
NX_A6NCI4-3	ENSP00000374049
NX_A6NCI4-4	ENSP00000456513
NX_A6NCI8-1	ENSP00000387124
NX_A6NCJ1-1	ENSP00000327950
NX_A6NCL1-1	ENSP00000406164
NX_A6NCL2-1	ENSP00000479730
NX_A6NCL7-1	ENSP00000296657
NX_A6NCM1-1	ENSP00000482119
NX_A6NCQ9-1	ENSP00000343799
NX_A6NCQ9-1	ENSP00000382330
NX_A6NCS4-1	ENSP00000320089
NX_A6NCS6-1	ENSP00000362743
NX_A6NCV1-1	ENSP00000342836
NX_A6NCW0-1	ENSP00000485323
NX_A6NCW3-1	ENSP00000470910
NX_A6NCW7-1	ENSP00000485243
NX_A6ND01-1	ENSP00000332963
NX_A6ND01-2	ENSP00000416935
NX_A6ND36-1	ENSP00000343279
NX_A6ND36-1	ENSP00000373647
NX_A6ND48-1	ENSP00000339726
NX_A6ND91-1	ENSP00000373860
NX_A6ND91-2	ENSP00000366114
NX_A6NDA9-1	ENSP00000361185
NX_A6NDA9-2	ENSP00000438264
NX_A6NDB9-1	ENSP00000344996
NX_A6NDD5-1	ENSP00000331474
NX_A6NDD5-1	ENSP00000450439
NX_A6NDE4-1	ENSP00000372484
NX_A6NDE8-1	ENSP00000371141
NX_A6NDG6-1	ENSP00000330918
NX_A6NDH6-1	ENSP00000373195
NX_A6NDI0-1	ENSP00000330216
NX_A6NDI0-1	ENSP00000481457
NX_A6NDK9-1	ENSP00000300576
NX_A6NDL8-1	ENSP00000448811
NX_A6NDN3-1	ENSP00000408132
NX_A6NDP7-1	ENSP00000386702
NX_A6NDS4-1	ENSP00000478473
NX_A6NDU8-1	ENSP00000371061
NX_A6NDV4-1	ENSP00000367227
NX_A6NDV4-1	ENSP00000367230
NX_A6NDV4-2	ENSP00000367235
NX_A6NDV4-2	ENSP00000395810
NX_A6NDY0-1	ENSP00000408598
NX_A6NDY0-2	ENSP00000405259
NX_A6NDZ8-1	ENSP00000370801
NX_A6NE01-1	ENSP00000329995
NX_A6NE02-1	ENSP00000364515
NX_A6NE52-1	ENSP00000320648
NX_A6NE52-2	ENSP00000435391
NX_A6NE82-1	ENSP00000333183
NX_A6NED2-1	ENSP00000377801
NX_A6NED2-1	ENSP00000451963
NX_A6NEE1-1	ENSP00000317175
NX_A6NEF3-1	ENSP00000421586
NX_A6NEH6-1	ENSP00000388684
NX_A6NEK1-1	ENSP00000371200
NX_A6NEL2-1	ENSP00000334879
NX_A6NEM1-1	ENSP00000481078
NX_A6NEM1-2	ENSP00000481078
NX_A6NEN9-1	ENSP00000363369
NX_A6NEQ0-1	ENSP00000372105
NX_A6NEQ2-1	ENSP00000365295
NX_A6NES4-1	ENSP00000374408
NX_A6NET4-1	ENSP00000373194
NX_A6NEV1-1	ENSP00000372649
NX_A6NF34-1	ENSP00000480615
NX_A6NF36-1	ENSP00000299415
NX_A6NF83-1	ENSP00000455442
NX_A6NF89-1	ENSP00000351211
NX_A6NFA0-1	ENSP00000489585
NX_A6NFA1-1	ENSP00000476820
NX_A6NFC5-1	ENSP00000402790
NX_A6NFC5-1	ENSP00000446514
NX_A6NFC5-2	ENSP00000364084
NX_A6NFC5-2	ENSP00000447766
NX_A6NFC5-3	ENSP00000466793
NX_A6NFD8-3	ENSP00000426033
NX_A6NFD8-4	ENSP00000422140
NX_A6NFE2-1	ENSP00000387617
NX_A6NFE2-1	ENSP00000441688
NX_A6NFE3-1	ENSP00000418678
NX_A6NFF2-1	ENSP00000362617
NX_A6NFH5-1	ENSP00000353650
NX_A6NFI3-1	ENSP00000477706
NX_A6NFK2-1	ENSP00000367214
NX_A6NFN3-1	ENSP00000463653
NX_A6NFN3-2	ENSP00000462007
NX_A6NFN9-2	ENSP00000417635
NX_A6NFQ2-1	ENSP00000404265
NX_A6NFQ2-2	ENSP00000349902
NX_A6NFQ2-2	ENSP00000412724
NX_A6NFQ2-3	ENSP00000389100
NX_A6NFQ2-3	ENSP00000441099
NX_A6NFQ7-1	ENSP00000365838
NX_A6NFT4-1	ENSP00000333915
NX_A6NFU0-1	ENSP00000329499
NX_A6NFU8-1	ENSP00000368199
NX_A6NFU8-2	ENSP00000368199
NX_A6NFU8-2	ENSP00000437560
NX_A6NFX1-1	ENSP00000385527
NX_A6NFY4-1	ENSP00000386292
NX_A6NFY4-2	ENSP00000404283
NX_A6NFY7-1	ENSP00000368165
NX_A6NFZ4-1	ENSP00000357889
NX_A6NG13-1	ENSP00000421185
NX_A6NGA9-1	ENSP00000340212
NX_A6NGB0-1	ENSP00000489706
NX_A6NGB7-1	ENSP00000342162
NX_A6NGB9-1	ENSP00000242140
NX_A6NGB9-1	ENSP00000386878
NX_A6NGC4-1	ENSP00000331965
NX_A6NGD5-1	ENSP00000365443
NX_A6NGD5-1	ENSP00000435234
NX_A6NGE4-1	ENSP00000405222
NX_A6NGE7-1	ENSP00000333490
NX_A6NGG3-1	ENSP00000370058
NX_A6NGG3-1	ENSP00000370060
NX_A6NGG3-2	ENSP00000370058
NX_A6NGG8-1	ENSP00000332809
NX_A6NGH7-1	ENSP00000359845
NX_A6NGH7-1	ENSP00000427951
NX_A6NGH8-1	ENSP00000386502
NX_A6NGJ6-1	ENSP00000483764
NX_A6NGN4-1	ENSP00000478309
NX_A6NGN4-1	ENSP00000481683
NX_A6NGN9-1	ENSP00000270642
NX_A6NGQ2-1	ENSP00000359384
NX_A6NGR9-1	ENSP00000381857
NX_A6NGS2-1	ENSP00000367429
NX_A6NGY1-1	ENSP00000312299
NX_A6NGY3-1	ENSP00000387027
NX_A6NGY5-1	ENSP00000369744
NX_A6NGZ8-1	ENSP00000358542
NX_A6NH00-1	ENSP00000326225
NX_A6NH11-1	ENSP00000328070
NX_A6NH21-1	ENSP00000319796
NX_A6NH21-2	ENSP00000402868
NX_A6NH52-1	ENSP00000299866
NX_A6NH52-1	ENSP00000460567
NX_A6NH52-1	ENSP00000482891
NX_A6NH52-2	ENSP00000411972
NX_A6NH57-1	ENSP00000269586
NX_A6NHA9-1	ENSP00000329056
NX_A6NHC0-1	ENSP00000355837
NX_A6NHG4-1	ENSP00000215770
NX_A6NHG9-1	ENSP00000401706
NX_A6NHJ4-1	ENSP00000373274
NX_A6NHL2-1	ENSP00000369784
NX_A6NHL2-2	ENSP00000418799
NX_A6NHN0-1	ENSP00000330808
NX_A6NHN6-1	ENSP00000411140
NX_A6NHP3-1	ENSP00000424058
NX_A6NHP3-1	ENSP00000440393
NX_A6NHP3-2	ENSP00000414338
NX_A6NHP3-2	ENSP00000424058
NX_A6NHP3-2	ENSP00000440393
NX_A6NHQ2-1	ENSP00000473383
NX_A6NHQ4-1	ENSP00000484710
NX_A6NHR9-1	ENSP00000326603
NX_A6NHR9-3	ENSP00000464684
NX_A6NHS7-1	ENSP00000370673
NX_A6NHT5-1	ENSP00000350549
NX_A6NHX0-1	ENSP00000484732
NX_A6NHY2-1	ENSP00000471417
NX_A6NHZ5-1	ENSP00000327675
NX_A6NI03-1	ENSP00000332969
NX_A6NI15-1	ENSP00000281047
NX_A6NI28-1	ENSP00000298815
NX_A6NI47-1	ENSP00000448062
NX_A6NI56-1	ENSP00000373828
NX_A6NI61-1	ENSP00000419712
NX_A6NI73-1	ENSP00000404236
NX_A6NI73-2	ENSP00000484372
NX_A6NI79-1	ENSP00000347586
NX_A6NI86-1	ENSP00000479362
