NX_A0A075B6J9	ENSP00000374845
NX_A4D0V7	ENSP00000415573
NX_A4D0V7	ENSP00000428504
NX_A4D161	ENSP00000386900
NX_A4D161	ENSP00000404551
NX_A4D161	ENSP00000416525
NX_A4D1B5	ENSP00000396230
NX_A4D1B5	ENSP00000402748
NX_A4D1B5	ENSP00000415402
NX_A4D1E1	ENSP00000478506
NX_A4D1E9	ENSP00000389510
NX_A4D1E9	ENSP00000405697
NX_A4D1E9	ENSP00000410311
NX_A4D1E9	ENSP00000411091
NX_A4D1E9	ENSP00000416596
NX_A4D1E9	ENSP00000416713
NX_A4D1F6	ENSP00000387628
NX_A4D1P6	ENSP00000392555
NX_A4D1S5	ENSP00000420782
NX_A4D1T9	ENSP00000395287
NX_A4D1T9	ENSP00000398810
NX_A4D1U4	ENSP00000418236
NX_A4D1U4	ENSP00000459381
NX_A4D1U4	ENSP00000460973
NX_A4D2B0	ENSP00000406055
NX_A4D2P6	ENSP00000397887
NX_A4D2P6	ENSP00000408364
NX_A4FU49	ENSP00000362232
NX_A4FU69	ENSP00000400023
NX_A4FU69	ENSP00000417009
NX_A4FU69	ENSP00000465109
NX_A4GXA9	ENSP00000456946
NX_A4GXA9	ENSP00000457966
NX_A4IF30	ENSP00000450836
NX_A4IF30	ENSP00000452196
NX_A4QMS7	ENSP00000426019
NX_A4QPB2	ENSP00000437736
NX_A4QPB2	ENSP00000438222
NX_A4UGR9	ENSP00000295237
NX_A5A3E0	ENSP00000355012
NX_A5D8T8	ENSP00000413990
NX_A5D8T8	ENSP00000454976
NX_A5D8V6	ENSP00000446013
NX_A5D8V7	ENSP00000466800
NX_A5D8V7	ENSP00000467313
NX_A5D8W1	ENSP00000391571
NX_A5D8W1	ENSP00000392365
NX_A5D8W1	ENSP00000393339
NX_A5D8W1	ENSP00000411143
NX_A5D8W1	ENSP00000414772
NX_A5D8W1	ENSP00000415818
NX_A5PKW4	ENSP00000490238
NX_A5PL33	ENSP00000417921
NX_A5PL33	ENSP00000418841
NX_A5PL33	ENSP00000419900
NX_A5PL33	ENSP00000479341
NX_A5PLK6	ENSP00000454969
NX_A5PLK6	ENSP00000454981
NX_A5PLK6	ENSP00000456332
NX_A5PLK6	ENSP00000458086
NX_A5PLK6	ENSP00000488942
NX_A5PLK6	ENSP00000489421
NX_A5PLK6	ENSP00000489498
NX_A5PLK6	ENSP00000489502
NX_A5PLK6	ENSP00000489508
NX_A5PLK6	ENSP00000489611
NX_A5PLL1	ENSP00000426198
NX_A5PLL7	ENSP00000360719
NX_A5PLL7	ENSP00000360721
NX_A5PLL7	ENSP00000411045
NX_A5PLN7	ENSP00000374005
NX_A5PLN7	ENSP00000421136
NX_A5PLN7	ENSP00000421713
NX_A5PLN7	ENSP00000422330
NX_A5PLN7	ENSP00000422584
NX_A5PLN7	ENSP00000422722
NX_A5PLN7	ENSP00000423143
NX_A5PLN9	ENSP00000424343
NX_A5PLN9	ENSP00000429396
NX_A5X5Y0	ENSP00000391254
NX_A5YKK6	ENSP00000454377
NX_A5YKK6	ENSP00000454611
NX_A5YKK6	ENSP00000454763
NX_A5YKK6	ENSP00000455289
NX_A5YKK6	ENSP00000456131
NX_A5YKK6	ENSP00000456975
NX_A5YKK6	ENSP00000457173
NX_A5YKK6	ENSP00000457460
NX_A5YKK6	ENSP00000457869
NX_A5YKK6	ENSP00000458057
NX_A5YKK6	ENSP00000485782
NX_A6BM72	ENSP00000378976
NX_A6BM72	ENSP00000401400
NX_A6BM72	ENSP00000456118
NX_A6BM72	ENSP00000477691
NX_A6BM72	ENSP00000478311
NX_A6BM72	ENSP00000483007
NX_A6H8M9	ENSP00000417753
NX_A6H8M9	ENSP00000419433
NX_A6H8M9	ENSP00000420677
NX_A6H8Y1	ENSP00000370050
NX_A6H8Y1	ENSP00000432404
NX_A6H8Y1	ENSP00000479056
NX_A6H8Y1	ENSP00000479247
NX_A6H8Y1	ENSP00000479517
NX_A6H8Y1	ENSP00000482469
NX_A6H8Z2	ENSP00000367222
NX_A6H8Z2	ENSP00000420279
NX_A6NC05	ENSP00000475157
NX_A6NC05	ENSP00000475415
NX_A6NC05	ENSP00000475733
NX_A6NC05	ENSP00000476160
NX_A6NC51	ENSP00000465672
NX_A6NC51	ENSP00000465815
NX_A6NC51	ENSP00000466297
NX_A6NC51	ENSP00000466957
NX_A6NC51	ENSP00000468745
NX_A6NCC3	ENSP00000456713
NX_A6NCF5	ENSP00000489731
NX_A6NCI4	ENSP00000457167
NX_A6NCI4	ENSP00000457368
NX_A6NCI4	ENSP00000457770
NX_A6NCL1	ENSP00000396337
NX_A6NCL2	ENSP00000477635
NX_A6NCL2	ENSP00000481713
NX_A6NCL2	ENSP00000482471
NX_A6NCL7	ENSP00000422195
NX_A6NCM1	ENSP00000479307
NX_A6NCM1	ENSP00000484243
NX_A6ND36	ENSP00000465602
NX_A6ND91	ENSP00000469754
NX_A6ND91	ENSP00000470360
NX_A6NDB9	ENSP00000465701
NX_A6NDD5	ENSP00000451519
NX_A6NDE4	ENSP00000372084
NX_A6NDE4	ENSP00000481627
NX_A6NDG6	ENSP00000457909
NX_A6NDH6	ENSP00000480705
NX_A6NDS4	ENSP00000478440
NX_A6NDS4	ENSP00000479418
NX_A6NDU8	ENSP00000481500
NX_A6NDY0	ENSP00000449247
NX_A6NE01	ENSP00000437706
NX_A6NE01	ENSP00000441337
NX_A6NE01	ENSP00000443703
NX_A6NED2	ENSP00000450678
NX_A6NED2	ENSP00000451365
NX_A6NEF3	ENSP00000389305
NX_A6NEF3	ENSP00000426395
NX_A6NEM1	ENSP00000479589
NX_A6NEN9	ENSP00000411354
NX_A6NEQ0	ENSP00000351823
NX_A6NEQ0	ENSP00000372104
NX_A6NER0	ENSP00000477679
NX_A6NER0	ENSP00000487737
NX_A6NER3	ENSP00000409832
NX_A6NES4	ENSP00000392128
NX_A6NES4	ENSP00000404614
NX_A6NES4	ENSP00000409355
NX_A6NES4	ENSP00000477597
NX_A6NF34	ENSP00000479364
NX_A6NF34	ENSP00000479655
NX_A6NF34	ENSP00000479836
NX_A6NF34	ENSP00000481410
NX_A6NFA0	ENSP00000489523
NX_A6NFA0	ENSP00000489571
NX_A6NFC5	ENSP00000466430
NX_A6NFD8	ENSP00000343464
NX_A6NFE2	ENSP00000298876
NX_A6NFE3	ENSP00000417484
NX_A6NFE3	ENSP00000417841
NX_A6NFE3	ENSP00000418425
NX_A6NFH5	ENSP00000427973
NX_A6NFI3	ENSP00000482395
NX_A6NFN3	ENSP00000463964
NX_A6NFN3	ENSP00000464186
NX_A6NFN3	ENSP00000464946
NX_A6NFN3	ENSP00000465367
NX_A6NFN3	ENSP00000467872
NX_A6NFN3	ENSP00000468693
NX_A6NFN9	ENSP00000387907
NX_A6NFN9	ENSP00000420428
NX_A6NFQ2	ENSP00000431079
NX_A6NFT4	ENSP00000447276
NX_A6NFU0	ENSP00000391869
NX_A6NFU8	ENSP00000490927
NX_A6NFX1	ENSP00000342501
NX_A6NFX1	ENSP00000390490
NX_A6NFY4	ENSP00000340087
NX_A6NFY4	ENSP00000403867
NX_A6NFY4	ENSP00000410306
NX_A6NG13	ENSP00000422714
NX_A6NG13	ENSP00000423767
NX_A6NG13	ENSP00000423768
NX_A6NG13	ENSP00000425945
NX_A6NG13	ENSP00000426225
NX_A6NGA9	ENSP00000456083
NX_A6NGA9	ENSP00000457632
NX_A6NGB0	ENSP00000489661
NX_A6NGB0	ENSP00000489893
NX_A6NGB0	ENSP00000490356
NX_A6NGB0	ENSP00000490383
NX_A6NGB0	ENSP00000490781
NX_A6NGB9	ENSP00000386790
NX_A6NGC4	ENSP00000479301
NX_A6NGG3	ENSP00000412109
NX_A6NGK3	ENSP00000385415
NX_A6NGN4	ENSP00000478972
NX_A6NGN4	ENSP00000479358
NX_A6NGN4	ENSP00000490751
NX_A6NGN4	ENSP00000490779
NX_A6NGQ2	ENSP00000359388
NX_A6NGQ2	ENSP00000397430
NX_A6NGR9	ENSP00000431569
NX_A6NGR9	ENSP00000434244
NX_A6NGR9	ENSP00000435528
NX_A6NGR9	ENSP00000436284
NX_A6NGR9	ENSP00000436959
NX_A6NGR9	ENSP00000479227
NX_A6NGR9	ENSP00000488703
NX_A6NGY1	ENSP00000419432
NX_A6NGY5	ENSP00000485387
NX_A6NH21	ENSP00000299969
NX_A6NH21	ENSP00000399074
NX_A6NH21	ENSP00000408781
NX_A6NH52	ENSP00000458488
NX_A6NH52	ENSP00000460822
NX_A6NH52	ENSP00000461067
NX_A6NH52	ENSP00000482095
NX_A6NH57	ENSP00000466347
NX_A6NHC0	ENSP00000355838
NX_A6NHC0	ENSP00000390294
NX_A6NHC0	ENSP00000401665
NX_A6NHC0	ENSP00000409233
NX_A6NHC0	ENSP00000434013
NX_A6NHC0	ENSP00000435953
NX_A6NHC0	ENSP00000436371
NX_A6NHG4	ENSP00000479063
NX_A6NHQ4	ENSP00000483859
NX_A6NHR9	ENSP00000462050
NX_A6NHR9	ENSP00000463036
NX_A6NHR9	ENSP00000463049
NX_A6NI28	ENSP00000431776
NX_A6NI28	ENSP00000434304
NX_A6NI28	ENSP00000435961
NX_A6NI47	ENSP00000448581
NX_A6NI47	ENSP00000483980
NX_A6NI56	ENSP00000386744
NX_A6NI56	ENSP00000456484
NX_A6NI73	ENSP00000477785
NX_A6NI73	ENSP00000478354
NX_A6NI73	ENSP00000480204
NX_A6NI73	ENSP00000480382
NX_A6NI73	ENSP00000480436
NX_A6NI73	ENSP00000480458
NX_A6NI73	ENSP00000482658
NX_A6NI73	ENSP00000482882
NX_A6NI73	ENSP00000483958
NX_A6NI73	ENSP00000483992
NX_A6NI73	ENSP00000484062
NX_A6NI73	ENSP00000484775
NX_A6NI73	ENSP00000484785
NX_A6NI73	ENSP00000484869
NX_A6NI79	ENSP00000428588
NX_A6NI79	ENSP00000430436
NX_A6NI79	ENSP00000430549
NX_A6NI86	ENSP00000483647
NX_A6NI86	ENSP00000484254
NX_A6NIN4	ENSP00000489902
NX_A6NIR3	ENSP00000402792
NX_A6NIR3	ENSP00000475576
NX_A6NIR3	ENSP00000486918
NX_A6NIX2	ENSP00000465683
NX_A6NIY4	ENSP00000485398
NX_A6NIY4	ENSP00000485476
NX_A6NIY4	ENSP00000485662
NX_A6NIZ1	ENSP00000488326
NX_A6NJ64	ENSP00000442069
NX_A6NJ64	ENSP00000448752
NX_A6NJ64	ENSP00000478897
NX_A6NJ78	ENSP00000385860
NX_A6NJ78	ENSP00000396550
NX_A6NJ78	ENSP00000489363
NX_A6NJ78	ENSP00000489381
NX_A6NJ78	ENSP00000489468
NX_A6NJ78	ENSP00000489497
NX_A6NJ78	ENSP00000489505
NX_A6NJB7	ENSP00000469298
NX_A6NJI9	ENSP00000371558
NX_A6NJJ6	ENSP00000340842
NX_A6NJL1	ENSP00000465118
NX_A6NJL1	ENSP00000468660
NX_A6NJU9	ENSP00000444728
NX_A6NJU9	ENSP00000455364
NX_A6NJU9	ENSP00000455945
NX_A6NJU9	ENSP00000456511
NX_A6NJU9	ENSP00000457242
NX_A6NJU9	ENSP00000481914
NX_A6NJV1	ENSP00000386615
NX_A6NJV1	ENSP00000395924
NX_A6NJZ7	ENSP00000350885
NX_A6NK06	ENSP00000401584
NX_A6NK44	ENSP00000409523
NX_A6NK53	ENSP00000465136
NX_A6NK53	ENSP00000465307
NX_A6NK53	ENSP00000466781
NX_A6NK53	ENSP00000468154
NX_A6NK58	ENSP00000431210
NX_A6NK58	ENSP00000433005
NX_A6NK75	ENSP00000470558
NX_A6NK75	ENSP00000470736
NX_A6NK75	ENSP00000472301
NX_A6NKB5	ENSP00000394703
NX_A6NKB5	ENSP00000427962
NX_A6NKB5	ENSP00000428134
NX_A6NKB5	ENSP00000428488
NX_A6NKB5	ENSP00000428582
NX_A6NKB5	ENSP00000429231
NX_A6NKB5	ENSP00000429262
NX_A6NKB5	ENSP00000430820
NX_A6NKC9	ENSP00000386676
NX_A6NKD2	ENSP00000372512
NX_A6NKD2	ENSP00000414049
NX_A6NKD9	ENSP00000450602
NX_A6NKD9	ENSP00000450850
NX_A6NKD9	ENSP00000451294
NX_A6NKD9	ENSP00000451718
NX_A6NKD9	ENSP00000452300
NX_A6NKD9	ENSP00000452496
NX_A6NKF1	ENSP00000381824
NX_A6NKF1	ENSP00000436649
NX_A6NKF1	ENSP00000436704
NX_A6NKQ9	ENSP00000472896
NX_A6NKT7	ENSP00000303659
NX_A6NKW6	ENSP00000426145
NX_A6NKW6	ENSP00000426194
NX_A6NKX4	ENSP00000474621
NX_A6NKX4	ENSP00000481421
NX_A6NL82	ENSP00000387018
NX_A6NL82	ENSP00000387249
NX_A6NL82	ENSP00000387254
NX_A6NL88	ENSP00000401307
NX_A6NLE4	ENSP00000331214
NX_A6NLE4	ENSP00000430818
NX_A6NLI5	ENSP00000431987
NX_A6NLI5	ENSP00000481815
NX_A6NLX3	ENSP00000462742
NX_A6NLX3	ENSP00000464038
NX_A6NLX4	ENSP00000454984
NX_A6NM10	ENSP00000391528
NX_A6NM10	ENSP00000395897
NX_A6NM10	ENSP00000407457
NX_A6NM15	ENSP00000401079
NX_A6NM15	ENSP00000478412
NX_A6NM15	ENSP00000480830
NX_A6NM15	ENSP00000480837
NX_A6NM15	ENSP00000481300
NX_A6NM15	ENSP00000484049
NX_A6NM15	ENSP00000484231
NX_A6NMD0	ENSP00000371557
NX_A6NMD2	ENSP00000480494
NX_A6NMK7	ENSP00000380788
NX_A6NML5	ENSP00000393684
NX_A6NML5	ENSP00000410327
NX_A6NMS7	ENSP00000377108
NX_A6NMS7	ENSP00000437021
NX_A6NMX2	ENSP00000421009
NX_A6NMX2	ENSP00000422420
NX_A6NMZ2	ENSP00000419971
NX_A6NMZ2	ENSP00000420078
NX_A6NMZ7	ENSP00000422921
NX_A6NMZ7	ENSP00000426006
NX_A6NN90	ENSP00000290390
NX_A6NN90	ENSP00000431103
NX_A6NNA2	ENSP00000480851
NX_A6NNA2	ENSP00000483698
NX_A6NNE9	ENSP00000424425
NX_A6NNF4	ENSP00000334762
NX_A6NNF4	ENSP00000433319
NX_A6NNF4	ENSP00000461349
NX_A6NNL0	ENSP00000344811
NX_A6NNL5	ENSP00000453824
NX_A6NNN8	ENSP00000455085
NX_A6NNN8	ENSP00000457737
NX_A6NNP5	ENSP00000420862
NX_A6NNS2	ENSP00000461902
NX_A6NNV3	ENSP00000488034
NX_A6NNV3	ENSP00000488825
NX_A6NNW6	ENSP00000345555
NX_A6NNW6	ENSP00000358208
NX_A6NNW6	ENSP00000474839
NX_A6NNW6	ENSP00000482973
NX_A6NNX1	ENSP00000420280
NX_A6PVC2	ENSP00000392252
NX_A6PVS8	ENSP00000359946
NX_A6PVS8	ENSP00000390376
NX_A6PVS8	ENSP00000398289
NX_A6PVY3	ENSP00000391615
NX_A6PVY3	ENSP00000400233
NX_A6QL63	ENSP00000407416
NX_A6QL63	ENSP00000447606
NX_A6QL64	ENSP00000483076
NX_A6XGL0	ENSP00000478505
NX_A7E2U8	ENSP00000422279
NX_A7E2U8	ENSP00000423127
NX_A7E2U8	ENSP00000425418
NX_A7E2V4	ENSP00000387828
NX_A7E2V4	ENSP00000415612
NX_A7E2V4	ENSP00000432423
NX_A7E2V4	ENSP00000474043
NX_A7E2V4	ENSP00000474118
NX_A7E2V4	ENSP00000474348
NX_A7E2V4	ENSP00000474677
NX_A7E2V4	ENSP00000474766
NX_A7E2V4	ENSP00000474944
NX_A7E2Y1	ENSP00000391939
NX_A7E2Y1	ENSP00000395858
NX_A7E2Y1	ENSP00000396368
NX_A7E2Y1	ENSP00000409103
NX_A7E2Y1	ENSP00000412594
NX_A7KAX9	ENSP00000432303
NX_A7KAX9	ENSP00000432468
NX_A7MCY6	ENSP00000446365
NX_A7MCY6	ENSP00000462339
NX_A7XYQ1	ENSP00000478366
NX_A8CG34	ENSP00000381415
NX_A8CG34	ENSP00000410033
NX_A8K0R7	ENSP00000452819
NX_A8K0R7	ENSP00000452983
NX_A8K0R7	ENSP00000453137
NX_A8K0R7	ENSP00000453415
NX_A8K0R7	ENSP00000453515
NX_A8K0R7	ENSP00000453744
NX_A8K0R7	ENSP00000454159
NX_A8K2U0	ENSP00000440057
NX_A8K2U0	ENSP00000440662
NX_A8K2U0	ENSP00000443174
NX_A8K2U0	ENSP00000445674
NX_A8K4G0	ENSP00000317337
NX_A8K830	ENSP00000434938
NX_A8K8P3	ENSP00000389364
NX_A8K8P3	ENSP00000391339
NX_A8K8P3	ENSP00000398871
NX_A8K8P3	ENSP00000401199
NX_A8K8P3	ENSP00000405541
NX_A8K8P3	ENSP00000411793
NX_A8K8P3	ENSP00000416931
NX_A8K8P3	ENSP00000430488
NX_A8K8P3	ENSP00000485935
NX_A8K8V0	ENSP00000456097
NX_A8K8V0	ENSP00000458511
NX_A8K979	ENSP00000454720
NX_A8MQ14	ENSP00000465189
NX_A8MQ14	ENSP00000483509
NX_A8MQB3	ENSP00000445158
NX_A8MRT5	ENSP00000349936
NX_A8MRT5	ENSP00000392155
NX_A8MRT5	ENSP00000428548
NX_A8MRT5	ENSP00000429898
NX_A8MRT5	ENSP00000431553
NX_A8MRT5	ENSP00000439898
NX_A8MRT5	ENSP00000440137
NX_A8MRT5	ENSP00000440316
NX_A8MRT5	ENSP00000441303
NX_A8MRT5	ENSP00000441759
NX_A8MRT5	ENSP00000442912
NX_A8MRT5	ENSP00000442935
NX_A8MRT5	ENSP00000444299
NX_A8MRT5	ENSP00000445388
NX_A8MRT5	ENSP00000445754
NX_A8MRT5	ENSP00000449628
NX_A8MRT5	ENSP00000481340
NX_A8MSI8	ENSP00000421807
NX_A8MSI8	ENSP00000426554
NX_A8MSI8	ENSP00000463472
NX_A8MSI8	ENSP00000464378
NX_A8MT33	ENSP00000454349
NX_A8MT66	ENSP00000401381
NX_A8MT69	ENSP00000463974
NX_A8MT69	ENSP00000464024
NX_A8MT69	ENSP00000464357
NX_A8MT70	ENSP00000417088
NX_A8MT70	ENSP00000417678
NX_A8MT70	ENSP00000418861
NX_A8MT70	ENSP00000419264
NX_A8MT70	ENSP00000419307
