NX_A0A075B6J9	ENST00000390310
NX_A1L1A6	ENST00000592507
NX_A1L390	ENST00000484731
NX_A1L390	ENST00000554088
NX_A1L390	ENST00000554499
NX_A1L390	ENST00000555982
NX_A1L390	ENST00000634379
NX_A1L3X0	ENST00000504455
NX_A1L3X0	ENST00000505959
NX_A1L3X0	ENST00000507047
NX_A1L3X0	ENST00000511799
NX_A1L3X0	ENST00000514809
NX_A1L429	ENST00000361446
NX_A1L443	ENST00000341207
NX_A1L4H1	ENST00000589020
NX_A1L4H1	ENST00000594321
NX_A1L4K1	ENST00000561368
NX_A1L4L8	ENST00000512998
NX_A1X283	ENST00000518522
NX_A1X283	ENST00000519643
NX_A1X283	ENST00000636523
NX_A1XBS5	ENST00000359421
NX_A1XBS5	ENST00000517718
NX_A1XBS5	ENST00000518829
NX_A1XBS5	ENST00000519135
NX_A1XBS5	ENST00000519679
NX_A1XBS5	ENST00000520937
NX_A1XBS5	ENST00000520955
NX_A1XBS5	ENST00000521641
NX_A1XBS5	ENST00000522324
NX_A1XBS5	ENST00000522803
NX_A1XBS5	ENST00000523453
NX_A1XBS5	ENST00000523475
NX_A1XBS5	ENST00000620645
NX_A1YPR0	ENST00000585404
NX_A1YPR0	ENST00000586047
NX_A1YPR0	ENST00000586525
NX_A1YPR0	ENST00000586743
NX_A1YPR0	ENST00000587107
NX_A1YPR0	ENST00000588028
NX_A1YPR0	ENST00000588053
NX_A1YPR0	ENST00000588149
NX_A1YPR0	ENST00000588566
NX_A1YPR0	ENST00000588970
NX_A1YPR0	ENST00000589077
NX_A1YPR0	ENST00000589170
NX_A1YPR0	ENST00000589194
NX_A1YPR0	ENST00000589619
NX_A1YPR0	ENST00000590178
NX_A1YPR0	ENST00000590374
NX_A1YPR0	ENST00000590437
NX_A1YPR0	ENST00000590855
NX_A1YPR0	ENST00000591279
NX_A1YPR0	ENST00000591405
NX_A1YPR0	ENST00000591526
NX_A1YPR0	ENST00000592387
NX_A1YPR0	ENST00000592656
NX_A1YPR0	ENST00000593159
NX_A2A288	ENST00000409948
NX_A2A288	ENST00000458251
NX_A2A2Y4	ENST00000431299
NX_A2A2Z9	ENST00000357927
NX_A2A2Z9	ENST00000465094
NX_A2A2Z9	ENST00000605687
NX_A2A3K4	ENST00000620992
NX_A2AJT9	ENST00000340625
NX_A2AJT9	ENST00000472158
NX_A2IDD5	ENST00000345165
NX_A2IDD5	ENST00000423653
NX_A2PYH4	ENST00000427444
NX_A2PYH4	ENST00000430465
NX_A2PYH4	ENST00000448819
NX_A2PYH4	ENST00000455133
NX_A2RRD8	ENST00000593618
NX_A2RRD8	ENST00000594741
NX_A2RRD8	ENST00000597091
NX_A2RRD8	ENST00000597111
NX_A2RRD8	ENST00000597265
NX_A2RRH5	ENST00000441385
NX_A2RRH5	ENST00000474018
NX_A2RRP1	ENST00000417461
NX_A2RRP1	ENST00000423602
NX_A2RRP1	ENST00000427792
NX_A2RRP1	ENST00000429842
NX_A2RRP1	ENST00000433283
NX_A2RRP1	ENST00000441755
NX_A2RRP1	ENST00000442506
NX_A2RTX5	ENST00000539112
NX_A2RTX5	ENST00000558533
NX_A2RTX5	ENST00000615656
NX_A2RTY3	ENST00000603218
NX_A2RTY3	ENST00000603323
NX_A2RTY3	ENST00000614305
NX_A2RTY3	ENST00000631921
NX_A2RTY3	ENST00000632179
NX_A2RTY3	ENST00000632969
NX_A2RTY3	ENST00000633642
NX_A2RU14	ENST00000524373
NX_A2RU14	ENST00000528724
NX_A2RU14	ENST00000529530
NX_A2RU14	ENST00000529609
NX_A2RU14	ENST00000532156
NX_A2RU14	ENST00000533273
NX_A2RU30	ENST00000524668
NX_A2RU30	ENST00000524923
NX_A2RU30	ENST00000525978
NX_A2RU30	ENST00000526532
NX_A2RU30	ENST00000528240
NX_A2RU30	ENST00000532757
NX_A2RU30	ENST00000533446
NX_A2RU30	ENST00000533607
NX_A2RU49	ENST00000566332
NX_A2RU67	ENST00000537625
NX_A2RUB1	ENST00000425535
NX_A2RUB1	ENST00000432494
NX_A2RUB1	ENST00000456912
NX_A2RUB1	ENST00000472403
NX_A2RUB6	ENST00000422222
NX_A2RUB6	ENST00000422788
NX_A2RUB6	ENST00000439445
NX_A2RUB6	ENST00000471681
NX_A2RUC4	ENST00000441832
NX_A2RUR9	ENST00000340621
NX_A2RUR9	ENST00000360495
NX_A2RUR9	ENST00000399273
NX_A2RUR9	ENST00000420937
NX_A2RUR9	ENST00000456009
NX_A2RUS2	ENST00000517985
NX_A2RUS2	ENST00000518249
NX_A2RUS2	ENST00000519291
NX_A2RUS2	ENST00000520725
NX_A2RUS2	ENST00000520986
NX_A2RUS2	ENST00000523058
NX_A2RUS2	ENST00000523308
NX_A2RUU4	ENST00000428710
NX_A2VDF0	ENST00000368551
NX_A2VDF0	ENST00000447176
NX_A2VDJ0	ENST00000240487
NX_A2VDJ0	ENST00000445960
NX_A2VEC9	ENST00000378016
NX_A3QJZ6	ENST00000540591
NX_A3QJZ7	ENST00000631964
NX_A3QJZ7	ENST00000636332
NX_A4D0S4	ENST00000418464
NX_A4D0S4	ENST00000422975
NX_A4D0V7	ENST00000340646
NX_A4D0V7	ENST00000423795
NX_A4D0V7	ENST00000428526
NX_A4D0V7	ENST00000443817
NX_A4D0V7	ENST00000520801
NX_A4D161	ENST00000409653
NX_A4D161	ENST00000429719
NX_A4D161	ENST00000446234
NX_A4D1B5	ENST00000415112
NX_A4D1B5	ENST00000430584
NX_A4D1B5	ENST00000441833
NX_A4D1E1	ENST00000611114
NX_A4D1E9	ENST00000417207
NX_A4D1E9	ENST00000421719
NX_A4D1E9	ENST00000426366
NX_A4D1E9	ENST00000439832
NX_A4D1E9	ENST00000450619
NX_A4D1E9	ENST00000453512
NX_A4D1F6	ENST00000437357
NX_A4D1P6	ENST00000423565
NX_A4D1S5	ENST00000495590
NX_A4D1T9	ENST00000419085
NX_A4D1T9	ENST00000452758
NX_A4D1U4	ENST00000482493
NX_A4D1U4	ENST00000574704
NX_A4D1U4	ENST00000575464
NX_A4D2B0	ENST00000421390
NX_A4D2P6	ENST00000435185
NX_A4D2P6	ENST00000452113
NX_A4FU49	ENST00000373139
NX_A4FU69	ENST00000419434
NX_A4FU69	ENST00000448319
NX_A4FU69	ENST00000588978
NX_A4GXA9	ENST00000561903
NX_A4GXA9	ENST00000564182
NX_A4IF30	ENST00000556306
NX_A4IF30	ENST00000557254
NX_A4QMS7	ENST00000509627
NX_A4QPB2	ENST00000468442
NX_A4QPB2	ENST00000474163
NX_A4UGR9	ENST00000295237
NX_A5A3E0	ENST00000361163
NX_A5D8T8	ENST00000449317
NX_A5D8T8	ENST00000561889
NX_A5D8V6	ENST00000538036
NX_A5D8V7	ENST00000591179
NX_A5D8V7	ENST00000591345
NX_A5D8W1	ENST00000412839
NX_A5D8W1	ENST00000418199
NX_A5D8W1	ENST00000427396
NX_A5D8W1	ENST00000445156
NX_A5D8W1	ENST00000449577
NX_A5D8W1	ENST00000457170
NX_A5PKW4	ENST00000461698
NX_A5PL33	ENST00000467333
NX_A5PL33	ENST00000486744
NX_A5PL33	ENST00000497895
NX_A5PL33	ENST00000621069
NX_A5PLK6	ENST00000416676
NX_A5PLK6	ENST00000422241
NX_A5PLK6	ENST00000437548
NX_A5PLK6	ENST00000447374
NX_A5PLK6	ENST00000634626
NX_A5PLK6	ENST00000634679
NX_A5PLK6	ENST00000634723
NX_A5PLK6	ENST00000634758
NX_A5PLK6	ENST00000634801
NX_A5PLK6	ENST00000635407
NX_A5PLL1	ENST00000508916
NX_A5PLL7	ENST00000371656
NX_A5PLL7	ENST00000371658
NX_A5PLL7	ENST00000453505
NX_A5PLN7	ENST00000389354
NX_A5PLN7	ENST00000502894
NX_A5PLN7	ENST00000504330
NX_A5PLN7	ENST00000509574
NX_A5PLN7	ENST00000510790
NX_A5PLN7	ENST00000510843
NX_A5PLN7	ENST00000512271
NX_A5PLN9	ENST00000504243
NX_A5PLN9	ENST00000504751
NX_A5X5Y0	ENST00000431041
NX_A5YKK6	ENST00000562046
NX_A5YKK6	ENST00000564557
NX_A5YKK6	ENST00000565605
NX_A5YKK6	ENST00000565697
NX_A5YKK6	ENST00000566240
NX_A5YKK6	ENST00000567133
NX_A5YKK6	ENST00000567285
NX_A5YKK6	ENST00000568917
NX_A5YKK6	ENST00000569020
NX_A5YKK6	ENST00000569882
NX_A5YKK6	ENST00000628857
NX_A6BM72	ENST00000395614
NX_A6BM72	ENST00000455812
NX_A6BM72	ENST00000489275
NX_A6BM72	ENST00000490495
NX_A6BM72	ENST00000562154
NX_A6BM72	ENST00000564573
NX_A6H8M9	ENST00000460430
NX_A6H8M9	ENST00000487256
NX_A6H8M9	ENST00000487666
NX_A6H8Y1	ENST00000380675
NX_A6H8Y1	ENST00000525844
NX_A6H8Y1	ENST00000612125
NX_A6H8Y1	ENST00000614425
NX_A6H8Y1	ENST00000616093
NX_A6H8Y1	ENST00000617085
NX_A6H8Z2	ENST00000377984
NX_A6H8Z2	ENST00000472182
NX_A6NC05	ENST00000508527
NX_A6NC05	ENST00000509733
NX_A6NC05	ENST00000606042
NX_A6NC05	ENST00000607731
NX_A6NC51	ENST00000585918
NX_A6NC51	ENST00000586609
NX_A6NC51	ENST00000591570
NX_A6NC51	ENST00000592603
NX_A6NC51	ENST00000592731
NX_A6NCC3	ENST00000562377
NX_A6NCF5	ENST00000637228
NX_A6NCI4	ENST00000563389
NX_A6NCI4	ENST00000567131
NX_A6NCI4	ENST00000568328
NX_A6NCL1	ENST00000456552
NX_A6NCL2	ENST00000544018
NX_A6NCL2	ENST00000545517
NX_A6NCL2	ENST00000622710
NX_A6NCL7	ENST00000504806
NX_A6NCM1	ENST00000611102
NX_A6NCM1	ENST00000613681
NX_A6ND36	ENST00000580115
NX_A6ND91	ENST00000598657
NX_A6ND91	ENST00000601207
NX_A6NDB9	ENST00000589048
NX_A6NDD5	ENST00000554953
NX_A6NDE4	ENST00000382639
NX_A6NDE4	ENST00000619219
NX_A6NDG6	ENST00000562001
NX_A6NDH6	ENST00000615035
NX_A6NDS4	ENST00000610580
NX_A6NDS4	ENST00000616006
NX_A6NDU8	ENST00000612065
NX_A6NDY0	ENST00000547152
NX_A6NE01	ENST00000539751
NX_A6NE01	ENST00000543096
NX_A6NE01	ENST00000543111
NX_A6NED2	ENST00000555155
NX_A6NED2	ENST00000556333
NX_A6NEF3	ENST00000422563
NX_A6NEF3	ENST00000512109
NX_A6NEM1	ENST00000620574
NX_A6NEN9	ENST00000438526
NX_A6NEQ0	ENST00000358944
NX_A6NEQ0	ENST00000382658
NX_A6NER0	ENST00000620210
NX_A6NER0	ENST00000634036
NX_A6NER3	ENST00000442437
NX_A6NES4	ENST00000428446
NX_A6NES4	ENST00000430892
NX_A6NES4	ENST00000454283
NX_A6NES4	ENST00000610772
NX_A6NF34	ENST00000614267
NX_A6NF34	ENST00000617088
NX_A6NF34	ENST00000619553
NX_A6NF34	ENST00000622632
NX_A6NFA0	ENST00000340783
NX_A6NFA0	ENST00000603592
NX_A6NFC5	ENST00000591033
NX_A6NFD8	ENST00000338875
NX_A6NFE2	ENST00000298876
NX_A6NFE3	ENST00000460135
NX_A6NFE3	ENST00000485614
NX_A6NFE3	ENST00000486180
NX_A6NFH5	ENST00000519696
NX_A6NFI3	ENST00000427912
NX_A6NFN3	ENST00000580508
NX_A6NFN3	ENST00000582043
NX_A6NFN3	ENST00000582139
NX_A6NFN3	ENST00000582880
NX_A6NFN3	ENST00000582894
NX_A6NFN3	ENST00000583458
NX_A6NFN9	ENST00000446160
NX_A6NFN9	ENST00000484019
NX_A6NFQ2	ENST00000518791
NX_A6NFT4	ENST00000550918
NX_A6NFU0	ENST00000412523
NX_A6NFU8	ENST00000637120
NX_A6NFX1	ENST00000338315
NX_A6NFX1	ENST00000453731
NX_A6NFY4	ENST00000343105
NX_A6NFY4	ENST00000421038
NX_A6NFY4	ENST00000444545
NX_A6NG13	ENST00000503109
NX_A6NG13	ENST00000513018
NX_A6NG13	ENST00000515121
NX_A6NG13	ENST00000515354
NX_A6NG13	ENST00000515402
NX_A6NGA9	ENST00000567679
NX_A6NGA9	ENST00000568167
NX_A6NGB0	ENST00000432134
NX_A6NGB0	ENST00000453397
NX_A6NGB0	ENST00000456303
NX_A6NGB0	ENST00000536718
NX_A6NGB0	ENST00000545656
NX_A6NGB9	ENST00000409123
NX_A6NGC4	ENST00000611774
NX_A6NGG3	ENST00000433347
NX_A6NGK3	ENST00000407599
NX_A6NGN4	ENST00000613225
NX_A6NGN4	ENST00000618988
NX_A6NGN4	ENST00000635813
NX_A6NGN4	ENST00000636290
NX_A6NGQ2	ENST00000370363
NX_A6NGQ2	ENST00000441145
NX_A6NGR9	ENST00000524906
NX_A6NGR9	ENST00000529971
NX_A6NGR9	ENST00000532862
NX_A6NGR9	ENST00000533679
NX_A6NGR9	ENST00000534459
NX_A6NGR9	ENST00000618551
NX_A6NGR9	ENST00000633027
NX_A6NGY1	ENST00000464571
NX_A6NGY5	ENST00000624103
NX_A6NH21	ENST00000299969
NX_A6NH21	ENST00000412697
NX_A6NH21	ENST00000448553
NX_A6NH52	ENST00000572102
NX_A6NH52	ENST00000572428
NX_A6NH52	ENST00000573360
NX_A6NH52	ENST00000619408
NX_A6NH57	ENST00000578912
NX_A6NHC0	ENST00000366873
NX_A6NHC0	ENST00000419193
NX_A6NHC0	ENST00000430824
NX_A6NHC0	ENST00000442247
NX_A6NHC0	ENST00000465098
NX_A6NHC0	ENST00000467384
NX_A6NHC0	ENST00000484873
NX_A6NHG4	ENST00000621454
NX_A6NHQ4	ENST00000613024
NX_A6NHR9	ENST00000577880
NX_A6NHR9	ENST00000583800
NX_A6NHR9	ENST00000585229
NX_A6NI28	ENST00000524892
NX_A6NI28	ENST00000529535
NX_A6NI28	ENST00000531183
NX_A6NI47	ENST00000552966
NX_A6NI47	ENST00000616847
NX_A6NI56	ENST00000409671
NX_A6NI56	ENST00000483702
NX_A6NI73	ENST00000611164
NX_A6NI73	ENST00000612266
NX_A6NI73	ENST00000612621
NX_A6NI73	ENST00000613559
NX_A6NI73	ENST00000614299
NX_A6NI73	ENST00000615820
NX_A6NI73	ENST00000616133
NX_A6NI73	ENST00000618711
NX_A6NI73	ENST00000619516
NX_A6NI73	ENST00000620091
NX_A6NI73	ENST00000620692
NX_A6NI73	ENST00000620898
NX_A6NI73	ENST00000621042
NX_A6NI73	ENST00000621482
NX_A6NI79	ENST00000518189
NX_A6NI79	ENST00000519740
NX_A6NI79	ENST00000522964
NX_A6NI86	ENST00000619556
NX_A6NI86	ENST00000621197
NX_A6NIN4	ENST00000635932
NX_A6NIR3	ENST00000443782
NX_A6NIR3	ENST00000581191
NX_A6NIR3	ENST00000607663
NX_A6NIX2	ENST00000585928
NX_A6NIY4	ENST00000455862
NX_A6NIY4	ENST00000624640
NX_A6NIY4	ENST00000625065
NX_A6NIZ1	ENST00000506621
NX_A6NJ64	ENST00000538896
NX_A6NJ64	ENST00000547494
NX_A6NJ64	ENST00000620285
NX_A6NJ78	ENST00000403099
NX_A6NJ78	ENST00000451385
NX_A6NJ78	ENST00000532947
NX_A6NJ78	ENST00000634627
NX_A6NJ78	ENST00000634721
NX_A6NJ78	ENST00000634762
NX_A6NJ78	ENST00000634973
NX_A6NJB7	ENST00000595750
NX_A6NJI9	ENST00000382124
NX_A6NJJ6	ENST00000343945
NX_A6NJL1	ENST00000587032
NX_A6NJL1	ENST00000589938
NX_A6NJU9	ENST00000543463
NX_A6NJU9	ENST00000562937
NX_A6NJU9	ENST00000564219
NX_A6NJU9	ENST00000564502
NX_A6NJU9	ENST00000568053
NX_A6NJU9	ENST00000618637
NX_A6NJV1	ENST00000409392
NX_A6NJV1	ENST00000453368
NX_A6NJZ7	ENST00000331505
NX_A6NK06	ENST00000449753
NX_A6NK44	ENST00000445229
NX_A6NK53	ENST00000588489
NX_A6NK53	ENST00000589522
NX_A6NK53	ENST00000590668
NX_A6NK53	ENST00000592581
NX_A6NK58	ENST00000527115
NX_A6NK58	ENST00000528085
NX_A6NK75	ENST00000593657
NX_A6NK75	ENST00000593802
NX_A6NK75	ENST00000601553
NX_A6NKB5	ENST00000430153
NX_A6NKB5	ENST00000462233
NX_A6NKB5	ENST00000484347
NX_A6NKB5	ENST00000486012
NX_A6NKB5	ENST00000488780
NX_A6NKB5	ENST00000490102
NX_A6NKB5	ENST00000517808
NX_A6NKB5	ENST00000518351
NX_A6NKC9	ENST00000409568
NX_A6NKD2	ENST00000383042
NX_A6NKD2	ENST00000429039
NX_A6NKD9	ENST00000554877
NX_A6NKD9	ENST00000554996
NX_A6NKD9	ENST00000555822
NX_A6NKD9	ENST00000556348
NX_A6NKD9	ENST00000557576
NX_A6NKD9	ENST00000557769
NX_A6NKF1	ENST00000398846
NX_A6NKF1	ENST00000529996
NX_A6NKF1	ENST00000531072
NX_A6NKQ9	ENST00000601167
NX_A6NKT7	ENST00000304514
NX_A6NKW6	ENST00000506473
NX_A6NKW6	ENST00000509189
NX_A6NKX4	ENST00000562855
NX_A6NKX4	ENST00000614943
NX_A6NL82	ENST00000409396
NX_A6NL82	ENST00000410025
NX_A6NL82	ENST00000410048
NX_A6NL88	ENST00000416792
NX_A6NLE4	ENST00000330910
NX_A6NLE4	ENST00000523047
NX_A6NLI5	ENST00000530230
NX_A6NLI5	ENST00000617704
NX_A6NLX3	ENST00000580999
NX_A6NLX3	ENST00000582989
NX_A6NLX4	ENST00000535352
NX_A6NM10	ENST00000413999
NX_A6NM10	ENST00000414322
NX_A6NM10	ENST00000452886
NX_A6NM15	ENST00000382436
NX_A6NM15	ENST00000456520
NX_A6NM15	ENST00000467791
NX_A6NM15	ENST00000486387
NX_A6NM15	ENST00000494538
NX_A6NM15	ENST00000617933
NX_A6NM15	ENST00000620776
NX_A6NMD0	ENST00000382123
NX_A6NMD2	ENST00000611771
NX_A6NMK7	ENST00000397671
NX_A6NML5	ENST00000420375
NX_A6NML5	ENST00000450693
NX_A6NMS7	ENST00000393465
NX_A6NMS7	ENST00000496930
NX_A6NMX2	ENST00000505497
NX_A6NMX2	ENST00000510660
NX_A6NMZ2	ENST00000469440
NX_A6NMZ2	ENST00000496807
NX_A6NMZ7	ENST00000506143
NX_A6NMZ7	ENST00000511332
NX_A6NN90	ENST00000290390
NX_A6NN90	ENST00000517883
NX_A6NNA2	ENST00000464752
NX_A6NNA2	ENST00000611745
NX_A6NNE9	ENST00000507111
NX_A6NNF4	ENST00000334589
NX_A6NNF4	ENST00000525354
NX_A6NNF4	ENST00000575986
NX_A6NNL0	ENST00000342531
NX_A6NNL5	ENST00000557807
NX_A6NNN8	ENST00000568178
NX_A6NNN8	ENST00000569816
NX_A6NNP5	ENST00000506800
NX_A6NNS2	ENST00000571771
NX_A6NNV3	ENST00000515340
NX_A6NNV3	ENST00000632547
NX_A6NNW6	ENST00000341276
NX_A6NNW6	ENST00000369207
NX_A6NNW6	ENST00000512864
NX_A6NNW6	ENST00000622726
NX_A6NNX1	ENST00000326413
NX_A6PVC2	ENST00000433387
NX_A6PVS8	ENST00000370909
NX_A6PVS8	ENST00000417067
NX_A6PVS8	ENST00000444984
NX_A6PVY3	ENST00000434700
NX_A6PVY3	ENST00000456298
NX_A6QL63	ENST00000415943
NX_A6QL63	ENST00000550706
NX_A6QL64	ENST00000620383
NX_A6XGL0	ENST00000458210
NX_A7E2U8	ENST00000508698
NX_A7E2U8	ENST00000511138
NX_A7E2U8	ENST00000511581
NX_A7E2V4	ENST00000412198
NX_A7E2V4	ENST00000433366
NX_A7E2V4	ENST00000466354
NX_A7E2V4	ENST00000492395
NX_A7E2V4	ENST00000603114
NX_A7E2V4	ENST00000603187
NX_A7E2V4	ENST00000604524
NX_A7E2V4	ENST00000604729
NX_A7E2V4	ENST00000604754
NX_A7E2Y1	ENST00000433934
NX_A7E2Y1	ENST00000435272
NX_A7E2Y1	ENST00000446156
NX_A7E2Y1	ENST00000453028
NX_A7E2Y1	ENST00000456649
NX_A7KAX9	ENST00000524655
NX_A7KAX9	ENST00000525234
NX_A7MCY6	ENST00000537587
NX_A7MCY6	ENST00000578982
NX_A7XYQ1	ENST00000618129
NX_A8CG34	ENST00000398379
NX_A8CG34	ENST00000439629
NX_A8K0R7	ENST00000558462
NX_A8K0R7	ENST00000558490
NX_A8K0R7	ENST00000559098
NX_A8K0R7	ENST00000559155
NX_A8K0R7	ENST00000560112
NX_A8K0R7	ENST00000560568
NX_A8K0R7	ENST00000561251
NX_A8K2U0	ENST00000536789
NX_A8K2U0	ENST00000537475
NX_A8K2U0	ENST00000541459
NX_A8K2U0	ENST00000545692
NX_A8K4G0	ENST00000314401
NX_A8K830	ENST00000528846
NX_A8K8P3	ENST00000411518
NX_A8K8P3	ENST00000417682
NX_A8K8P3	ENST00000425671
NX_A8K8P3	ENST00000443011
NX_A8K8P3	ENST00000444859
NX_A8K8P3	ENST00000450787
NX_A8K8P3	ENST00000452250
NX_A8K8P3	ENST00000524296
NX_A8K8P3	ENST00000629688
NX_A8K8V0	ENST00000562128
NX_A8K8V0	ENST00000567773
NX_A8K979	ENST00000568805
NX_A8MQ14	ENST00000589390
NX_A8MQ14	ENST00000614887
NX_A8MQB3	ENST00000412778
NX_A8MRT5	ENST00000356156
NX_A8MRT5	ENST00000357370
NX_A8MRT5	ENST00000415833
NX_A8MRT5	ENST00000451409
NX_A8MRT5	ENST00000517347
NX_A8MRT5	ENST00000521555
NX_A8MRT5	ENST00000528249
NX_A8MRT5	ENST00000536620
NX_A8MRT5	ENST00000538606
NX_A8MRT5	ENST00000539604
NX_A8MRT5	ENST00000541154
NX_A8MRT5	ENST00000541664
NX_A8MRT5	ENST00000542518
NX_A8MRT5	ENST00000543407
NX_A8MRT5	ENST00000544308
NX_A8MRT5	ENST00000545375
NX_A8MRT5	ENST00000621622
NX_A8MSI8	ENST00000460380
NX_A8MSI8	ENST00000503642
NX_A8MSI8	ENST00000508816
NX_A8MSI8	ENST00000508862
NX_A8MT33	ENST00000563157
NX_A8MT66	ENST00000435732
NX_A8MT69	ENST00000579520
NX_A8MT69	ENST00000584347
NX_A8MT69	ENST00000584600
NX_A8MT70	ENST00000464922
NX_A8MT70	ENST00000474464
NX_A8MT70	ENST00000485651
NX_A8MT70	ENST00000492642
NX_A8MT70	ENST00000494898
NX_A8MT82	ENST00000624701
NX_A8MTA8	ENST00000619051
NX_A8MTL3	ENST00000399905
NX_A8MTL3	ENST00000470456
NX_A8MTL3	ENST00000492621
NX_A8MTY0	ENST00000597037
NX_A8MTY0	ENST00000597537
NX_A8MTY7	ENST00000573531
NX_A8MTZ0	ENST00000398289
NX_A8MU46	ENST00000527972
NX_A8MU93	ENST00000624159
NX_A8MUM7	ENST00000594480
NX_A8MUX0	ENST00000572734
NX_A8MV23	ENST00000419898
NX_A8MV24	ENST00000619585
NX_A8MV65	ENST00000494229
NX_A8MV65	ENST00000637106
NX_A8MVA2	ENST00000576511
NX_A8MVW0	ENST00000588067
NX_A8MVW0	ENST00000589407
NX_A8MVW5	ENST00000440868
NX_A8MVX0	ENST00000411874
NX_A8MVX0	ENST00000433605
NX_A8MW92	ENST00000220847
NX_A8MW92	ENST00000395376
NX_A8MW92	ENST00000395379
NX_A8MW92	ENST00000395390
NX_A8MW92	ENST00000460236
NX_A8MW92	ENST00000485595
NX_A8MW92	ENST00000486199
NX_A8MW92	ENST00000521038
NX_A8MW92	ENST00000522580
NX_A8MWE9	ENST00000400522
NX_A8MWY0	ENST00000398276
NX_A8MWY0	ENST00000423294
NX_A8MWY0	ENST00000425689
NX_A8MWY0	ENST00000427812
NX_A8MWY0	ENST00000444627
NX_A8MX34	ENST00000574737
NX_A8MX34	ENST00000576125
NX_A8MXK1	ENST00000398221
NX_A8MXY4	ENST00000397104
