NX_A0A087WTH1	MGI:5613213
NX_A1XBS5	MGI:1915349
NX_A1YPR0	MGI:2443302
NX_A1Z1Q3	MGI:1920149
NX_A2A288	MGI:3045313
NX_A2A2V5	MGI:3607715
NX_A2A2Y4	MGI:2442466
NX_A2A368	MGI:1919217
NX_A2A3K4	MGI:2145430
NX_A2A3L6	MGI:2443841
NX_A2AJT9	MGI:2685992
NX_A2CJ06	MGI:2685061
NX_A2IDD5	MGI:2685784
NX_A2PYH4	MGI:3036246
NX_A2RRH5	MGI:1918932
NX_A2RRL7	MGI:1924772
NX_A2RRP1	MGI:1918419
NX_A2RTX5	MGI:2444486
NX_A2RTY3	MGI:3650286
NX_A2RU14	MGI:1913529
NX_A2RU30	MGI:1914846
NX_A2RU48	MGI:2443451
NX_A2RU49	MGI:2443139
NX_A2RU54	MGI:107159
NX_A2RU67	MGI:1921775
NX_A2RUB1	MGI:2686410
NX_A2RUB6	MGI:2443639
NX_A2RUC4	MGI:1915986
NX_A2RUH7	MGI:1916003
NX_A2RUS2	MGI:2146009
NX_A2RUT3	MGI:1916634
NX_A2VCK2	MGI:2686212
NX_A2VCL2	MGI:1923223
NX_A2VDF0	MGI:1916314
NX_A2VDJ0	MGI:2443399
NX_A2VEC9	MGI:2674311
NX_A3KFT3	MGI:3029999
NX_A3KMH1	MGI:1919008
NX_A3KN83	MGI:2384298
NX_A4D0V7	MGI:2444814
NX_A4D126	MGI:1923097
NX_A4D161	MGI:2442161
NX_A4D1B5	MGI:2442259
NX_A4D1E1	MGI:2685287
NX_A4D1E9	MGI:2385599
NX_A4D1F6	MGI:3045299
NX_A4D1P6	MGI:2141558
NX_A4D1S0	MGI:1921503
NX_A4D1S5	MGI:103292
NX_A4D1T9	MGI:1914940
NX_A4D1U4	MGI:2444256
NX_A4D1Z8	MGI:1925248
NX_A4D263	MGI:1921112
NX_A4D2B0	MGI:2679717
NX_A4D2G3	MGI:3030281
NX_A4D2P6	MGI:2176213
NX_A4FU01	MGI:2652817
NX_A4FU49	MGI:1914188
NX_A4FU69	MGI:2442440
NX_A4GXA9	MGI:1919889
NX_A4IF30	MGI:1922538
NX_A4QMS7	MGI:1916565
NX_A4UGR9	MGI:2685198
NX_A5A3E0	MGI:3650759
NX_A5D6W6	MGI:1915930
NX_A5D8T8	MGI:2672935
NX_A5D8V6	MGI:2147661
NX_A5D8V7	MGI:1924859
NX_A5D8W1	MGI:2443778
NX_A5LHX3	MGI:1921152
NX_A5PKW4	MGI:1920978
NX_A5PL33	MGI:1925077
NX_A5PLK6	MGI:2685048
NX_A5PLL1	MGI:2443245
NX_A5PLL7	MGI:2142624
NX_A5PLN7	MGI:2387177
NX_A5PLN9	MGI:1914225
NX_A5YKK6	MGI:2442402
NX_A5YM72	MGI:2147595
NX_A6BM72	MGI:1920951
NX_A6H8M9	MGI:1916648
NX_A6H8Y1	MGI:1347077
NX_A6H8Z2	MGI:2441678
NX_A6NC05	MGI:1924672
NX_A6NC42	MGI:101800
NX_A6NC51	MGI:2679718
NX_A6NC86	MGI:3615324
NX_A6NC98	MGI:1925567
NX_A6NCF5	MGI:3644593
NX_A6NCI4	MGI:3041229
NX_A6NCI8	MGI:3645331
NX_A6NCJ1	MGI:1921072
NX_A6NCL1	MGI:2685452
NX_A6NCL2	MGI:2686525
NX_A6NCL7	MGI:1917904
NX_A6NCM1	MGI:3045319
NX_A6NCN2	MGI:3665486
NX_A6NCN8	MGI:1918399
NX_A6NCQ9	MGI:2443227
NX_A6NCS4	MGI:97351
NX_A6NCS6	MGI:1920042
NX_A6NCV1	MGI:3030655
NX_A6ND01	MGI:1929185
NX_A6ND36	MGI:1916890
NX_A6ND48	MGI:3030132
NX_A6ND91	MGI:1915602
NX_A6NDA9	MGI:2444885
NX_A6NDB9	MGI:1921587
NX_A6NDD5	MGI:2685107
NX_A6NDG6	MGI:1914328
NX_A6NDH6	MGI:3030017
NX_A6NDL7	MGI:2685837
NX_A6NDL8	MGI:3030614
NX_A6NDL8	MGI:3030615
NX_A6NDL8	MGI:3030633
NX_A6NDP7	MGI:1915765
NX_A6NDU8	MGI:2146232
NX_A6NDV4	MGI:2441680
NX_A6NDY0	MGI:2685954
NX_A6NDZ8	MGI:2158460
NX_A6NE01	MGI:2685766
NX_A6NE02	MGI:1919264
NX_A6NE52	MGI:5594498
NX_A6NE82	MGI:2158460
NX_A6NED2	MGI:2444156
NX_A6NEE1	MGI:3036228
NX_A6NEH6	MGI:1925719
NX_A6NEK1	MGI:1924170
NX_A6NEL2	MGI:1925338
NX_A6NEN9	MGI:2685460
NX_A6NEQ2	MGI:1930951
NX_A6NES4	MGI:3705228
NX_A6NET4	MGI:3030029
NX_A6NEV1	MGI:1919229
NX_A6NEV1	MGI:3588253
NX_A6NEV1	MGI:3645743
NX_A6NEV1	MGI:3645937
NX_A6NEY8	MGI:1915189
NX_A6NF34	MGI:1925726
NX_A6NF36	MGI:1921547
NX_A6NF83	MGI:1923099
NX_A6NF89	MGI:3030613
NX_A6NF89	MGI:3030616
NX_A6NF89	MGI:3030638
NX_A6NFA0	MGI:2679716
NX_A6NFA1	MGI:3650152
NX_A6NFC5	MGI:3651706
NX_A6NFD8	MGI:3040955
NX_A6NFE2	MGI:1916621
NX_A6NFE3	MGI:1922290
NX_A6NFH5	MGI:1922747
NX_A6NFI3	MGI:1860402
NX_A6NFK2	MGI:2685697
NX_A6NFN3	MGI:106368
NX_A6NFN9	MGI:2685256
NX_A6NFQ2	MGI:2385258
NX_A6NFQ7	MGI:2451355
NX_A6NFT4	MGI:3779542
NX_A6NFU0	MGI:1914034
NX_A6NFU8	MGI:1925694
NX_A6NFX1	MGI:3583946
NX_A6NFY4	MGI:2444113
NX_A6NFY7	MGI:1915582
NX_A6NFZ4	MGI:1915473
NX_A6NG13	MGI:1914805
NX_A6NGA9	MGI:1921143
NX_A6NGB7	MGI:3525074
NX_A6NGB9	MGI:3044681
NX_A6NGC4	MGI:1917141
NX_A6NGE7	MGI:3647519
NX_A6NGG8	MGI:2385061
NX_A6NGH7	MGI:3588225
NX_A6NGH8	MGI:1913979
NX_A6NGN4	MGI:3525148
NX_A6NGN4	MGI:3649498
NX_A6NGN4	MGI:3649500
NX_A6NGN4	MGI:3649690
NX_A6NGN4	MGI:3649968
NX_A6NGN4	MGI:3651680
NX_A6NGN9	MGI:2686277
NX_A6NGQ2	MGI:1915218
NX_A6NGR9	MGI:5011755
NX_A6NGS2	MGI:3646269
NX_A6NGY3	MGI:1914680
NX_A6NGY5	MGI:3030400
NX_A6NGZ8	MGI:3588243
NX_A6NH00	MGI:3030148
NX_A6NH11	MGI:2444527
NX_A6NH21	MGI:2441842
NX_A6NH52	MGI:3665441
NX_A6NH57	MGI:3028577
NX_A6NHA9	MGI:3031092
NX_A6NHC0	MGI:2181366
NX_A6NHG9	MGI:3030025
NX_A6NHG9	MGI:3030027
NX_A6NHL2	MGI:3588215
NX_A6NHM9	MGI:2388042
NX_A6NHN0	MGI:2685260
NX_A6NHQ2	MGI:3034689
NX_A6NHQ4	MGI:2143991
NX_A6NHR9	MGI:1921605
NX_A6NHS7	MGI:3645619
NX_A6NHT5	MGI:107160
NX_A6NHX0	MGI:1933384
NX_A6NHY2	MGI:2444730
NX_A6NHZ5	MGI:2145269
NX_A6NI15	MGI:1860483
NX_A6NI28	MGI:1918794
NX_A6NI47	MGI:1918202
NX_A6NI56	MGI:2685163
NX_A6NI61	MGI:1913389
NX_A6NI73	MGI:3647196
NX_A6NI79	MGI:1196234
NX_A6NI87	MGI:1923903
NX_A6NIE9	MGI:2149952
NX_A6NIH7	MGI:2147162
NX_A6NIJ9	MGI:3030644
NX_A6NIJ9	MGI:3030648
NX_A6NIK2	MGI:2685551
NX_A6NIL9	MGI:2388709
NX_A6NIM6	MGI:3607714
NX_A6NIV6	MGI:1915557
NX_A6NIX2	MGI:2141920
NX_A6NJ08	MGI:2158460
NX_A6NJ46	MGI:1921811
NX_A6NJ69	MGI:1924271
NX_A6NJ78	MGI:1924144
NX_A6NJB7	MGI:3648539
NX_A6NJG2	MGI:3045274
NX_A6NJI1	MGI:1917111
NX_A6NJI9	MGI:1920830
NX_A6NJJ6	MGI:1920703
NX_A6NJL1	MGI:2159640
NX_A6NJT0	MGI:108013
NX_A6NJV1	MGI:1922684
NX_A6NJW4	MGI:2684858
NX_A6NJZ3	MGI:3030642
NX_A6NJZ3	MGI:3030656
NX_A6NJZ7	MGI:2685449
NX_A6NK02	MGI:2685640
NX_A6NK06	MGI:103206
NX_A6NK44	MGI:1917074
NX_A6NK58	MGI:1914414
NX_A6NK59	MGI:2655107
NX_A6NK89	MGI:1925998
NX_A6NK97	MGI:2685809
NX_A6NKB5	MGI:2445010
NX_A6NKC9	MGI:2441692
NX_A6NKD9	MGI:3644008
NX_A6NKF1	MGI:1913656
NX_A6NKF2	MGI:3650624
NX_A6NKF7	MGI:2444329
NX_A6NKG5	MGI:2656842
NX_A6NKK0	MGI:3030030
NX_A6NKL6	MGI:3646281
NX_A6NKN8	MGI:1913675
NX_A6NKP2	MGI:3645276
NX_A6NKT7	MGI:894323
NX_A6NKW6	MGI:1925053
NX_A6NL08	MGI:3030624
NX_A6NL26	MGI:3031278
NX_A6NL82	MGI:1922679
NX_A6NL88	MGI:3605641
NX_A6NLC5	MGI:1919440
NX_A6NLE4	MGI:1916601
NX_A6NLJ0	MGI:1922947
NX_A6NLP5	MGI:2384760
NX_A6NLU0	MGI:2149590
NX_A6NLU5	MGI:1914525
NX_A6NLX3	MGI:1921923
NX_A6NLX4	MGI:1925467
NX_A6NM03	MGI:3030535
NX_A6NM03	MGI:3030540
NX_A6NM10	MGI:2664636
NX_A6NM11	MGI:2685097
NX_A6NM11	MGI:2685730
NX_A6NM28	MGI:108094
NX_A6NM36	MGI:2685172
NX_A6NM43	MGI:2685289
NX_A6NM45	MGI:3712484
NX_A6NM76	MGI:3030626
NX_A6NM76	MGI:3030632
NX_A6NM76	MGI:3030643
NX_A6NM76	MGI:3030647
NX_A6NMA1	MGI:3641805
NX_A6NMB9	MGI:3646919
NX_A6NMD0	MGI:2444776
NX_A6NMK7	MGI:1277182
NX_A6NMK8	MGI:3643491
NX_A6NML5	MGI:2685410
NX_A6NMN3	MGI:2145650
NX_A6NMS3	MGI:3030014
NX_A6NMS7	MGI:2685097
NX_A6NMS7	MGI:2685730
NX_A6NMT0	MGI:94867
NX_A6NMX2	MGI:2685119
NX_A6NMZ2	MGI:3045373
NX_A6NMZ5	MGI:3031097
NX_A6NMZ7	MGI:2444259
NX_A6NN14	MGI:2145180
NX_A6NN14	MGI:3036250
NX_A6NN14	MGI:3040706
NX_A6NN90	MGI:1919087
NX_A6NN92	MGI:1923993
NX_A6NNA2	MGI:1920309
NX_A6NNA5	MGI:2148204
NX_A6NNB3	MGI:1934923
NX_A6NND4	MGI:3030354
NX_A6NNE9	MGI:3608327
NX_A6NNF4	MGI:1925501
NX_A6NNL0	MGI:2685652
NX_A6NNL5	MGI:1916728
NX_A6NNM3	MGI:2685449
NX_A6NNM8	MGI:1920845
NX_A6NNN8	MGI:2685433
NX_A6NNP5	MGI:2444356
NX_A6NNS2	MGI:1915710
NX_A6NNT2	MGI:1926059
NX_A6NNW6	MGI:2441717
NX_A6NNX1	MGI:1913603
NX_A6NNY8	MGI:1859645
NX_A6NP61	MGI:3690051
NX_A6PVC2	MGI:1922902
NX_A6PVL3	MGI:3614952
NX_A6PVS8	MGI:1921685
NX_A6QL63	MGI:1921257
NX_A6XGL0	MGI:2681845
NX_A6ZKI3	MGI:1913408
NX_A6ZKI3	MGI:1920115
NX_A6ZKI3	MGI:3576504
NX_A7E2U8	MGI:1916729
NX_A7E2V4	MGI:1919156
NX_A7E2Y1	MGI:3710243
NX_A7KAX9	MGI:2450166
NX_A7MBM2	MGI:2388733
NX_A7MCY6	MGI:1920424
NX_A7MD48	MGI:1916205
NX_A7XYQ1	MGI:1924427
NX_A8CG34	MGI:2137624
NX_A8K0R7	MGI:1920055
NX_A8K0Z3	MGI:1916017
NX_A8K2U0	MGI:3648717
NX_A8K4G0	MGI:2685099
NX_A8K5M9	MGI:3651144
NX_A8K7I4	MGI:1346342
NX_A8K830	MGI:2685530
NX_A8K855	MGI:2385199
NX_A8K8P3	MGI:1926137
NX_A8K979	MGI:1918401
NX_A8MPS7	MGI:1916351
NX_A8MPX8	MGI:3612067
NX_A8MPY1	MGI:3588203
NX_A8MQ03	MGI:1915109
NX_A8MQ14	MGI:1916873
NX_A8MQ27	MGI:3643092
NX_A8MSI8	MGI:1913524
NX_A8MT33	MGI:1922247
NX_A8MT69	MGI:894324
NX_A8MT70	MGI:2674085
NX_A8MTA8	MGI:2445194
NX_A8MTB9	MGI:1919681
NX_A8MTI9	MGI:2685120
NX_A8MTJ3	MGI:3588268
NX_A8MTJ6	MGI:3511278
NX_A8MTL0	MGI:1922720
NX_A8MTL3	MGI:5589964
NX_A8MTQ0	MGI:3053002
NX_A8MTT3	MGI:1915804
NX_A8MTZ0	MGI:1913610
NX_A8MTZ7	MGI:1920594
NX_A8MU46	MGI:1915928
NX_A8MU93	MGI:1922554
NX_A8MUK1	MGI:107698
NX_A8MUK1	MGI:107699
NX_A8MUK1	MGI:3051372
NX_A8MUK1	MGI:3051498
NX_A8MUP6	MGI:3650209
NX_A8MUX0	MGI:3650326
NX_A8MV23	MGI:2442020
NX_A8MV24	MGI:1919465
NX_A8MV57	MGI:1913539
NX_A8MV65	MGI:1920819
NX_A8MV81	MGI:2685767
NX_A8MVS5	MGI:3043001
NX_A8MVU1	MGI:97283
NX_A8MVW0	MGI:2448496
NX_A8MVW5	MGI:2141520
NX_A8MVX0	MGI:2685787
NX_A8MVZ5	MGI:2182073
NX_A8MW92	MGI:2444412
NX_A8MW95	MGI:2684950
NX_A8MW99	MGI:1922283
NX_A8MWE9	MGI:3644206
NX_A8MWY0	MGI:2443264
NX_A8MX34	MGI:3652056
NX_A8MXD5	MGI:3577767
NX_A8MXK1	MGI:1916387
NX_A8MXT2	MGI:3643982
NX_A8MXT2	MGI:3645128
NX_A8MXV4	MGI:94203
NX_A8MXY4	MGI:3040706
NX_A8MXZ3	MGI:3650333
NX_A8MY62	MGI:2448566
NX_A8MYA2	MGI:2685988
NX_A8MYA2	MGI:3646776
NX_A8MYB1	MGI:1922525
NX_A8MYJ7	MGI:2445205
NX_A8MYP8	MGI:1917363
NX_A8MYU2	MGI:1202300
NX_A8MYV0	MGI:1915761
NX_A8MYZ0	MGI:2140018
NX_A8MYZ5	MGI:3781315
NX_A8MYZ6	MGI:2676586
NX_A8MZ26	MGI:1916556
NX_A8MZ97	MGI:1914608
NX_A8MZF0	MGI:3642289
NX_A8MZG2	MGI:1920511
NX_A8MZH6	MGI:2149290
NX_A8TX70	MGI:3648134
NX_A9QM74	MGI:2141165
NX_A9UHW6	MGI:1916924
NX_A9YTQ3	MGI:1333776
NX_A9Z1Z3	MGI:1921812
NX_B0FP48	MGI:1916915
NX_B0I1T2	MGI:1927091
NX_B0YJ81	MGI:1353592
NX_B1AH88	MGI:88222
NX_B1AJZ1	MGI:1917975
NX_B1AJZ9	MGI:1920323
NX_B1AK53	MGI:1861630
NX_B1AKI9	MGI:2442963
NX_B1AL88	MGI:2142765
NX_B1ANS9	MGI:1923070
NX_B1ATL7	MGI:1916050
NX_B2RC85	MGI:1922386
NX_B2RNN3	MGI:3045252
NX_B2RTY4	MGI:107735
NX_B2RUY7	MGI:2444069
NX_B2RUZ4	MGI:1916109
NX_B2RV13	MGI:1922687
NX_B2RXF0	MGI:2442812
NX_B2RXF5	MGI:3644133
NX_B2RXH2	MGI:3644125
NX_B2RXH4	MGI:3650217
NX_B3EWF7	MGI:1341085
NX_B3EWG3	MGI:1916384
NX_B3EWG5	MGI:1916384
NX_B3GLJ2	MGI:4936999
NX_B3SHH9	MGI:1921970
NX_B4DJY2	MGI:3651514
NX_B4DS77	MGI:1919805
NX_B4DU55	MGI:3053099
NX_B4DX44	MGI:107768
NX_B4E2M5	MGI:1925106
NX_B5ME19	MGI:1926966
NX_B6A8C7	MGI:2442280
NX_B7Z1M9	MGI:2685505
NX_B7Z6K7	MGI:2445132
NX_B7ZAP0	MGI:1352507
NX_B7ZAQ6	MGI:1914799
NX_B7ZBB8	MGI:1923737
NX_B7ZC32	MGI:2686151
NX_B8ZZ34	MGI:2146080
NX_B9A014	MGI:1922578
NX_B9A064	MGI:96529
NX_B9EJG8	MGI:3041258
NX_C9J069	MGI:2685842
NX_C9J302	MGI:1914937
NX_C9J3I9	MGI:1924124
NX_C9J3V5	MGI:1922921
NX_C9J442	MGI:2685593
NX_C9J6K1	MGI:1916599
NX_C9J798	MGI:1858600
NX_C9J7I0	MGI:3840148
NX_C9JCN9	MGI:1913505
NX_C9JDP6	MGI:3642767
NX_C9JE40	MGI:1914828
NX_C9JFL3	MGI:1858382
NX_C9JH25	MGI:2141677
NX_C9JI98	MGI:1922935
NX_C9JJ37	MGI:1925861
NX_C9JL84	MGI:3615329
NX_C9JLR9	MGI:1919667
NX_C9JLW8	MGI:2384752
NX_C9JN71	MGI:2684459
NX_C9JQI7	MGI:2685786
NX_C9JR72	MGI:1921742
NX_C9JRZ8	MGI:101918
NX_C9JRZ8	MGI:107673
NX_C9JRZ8	MGI:1915111
NX_C9JSJ3	MGI:3647482
NX_C9JTQ0	MGI:2686183
NX_C9JVW0	MGI:1913550
NX_C9JXX5	MGI:1916742
NX_D6REC4	MGI:5434801
NX_D6RGH6	MGI:3648807
NX_E0CX11	MGI:1914955
NX_E2RYF6	MGI:3779983
NX_E5RG02	MGI:1921556
NX_E5RJM6	MGI:2685285
NX_E7EML9	MGI:1920586
NX_E7ERA6	MGI:3588193
NX_E7EW31	MGI:2686460
NX_E9PAV3	MGI:106095
NX_E9PB15	MGI:1916146
NX_E9PQX1	MGI:3690536
NX_E9PRG8	MGI:1913526
NX_F2Z333	MGI:2444790
NX_F5GYI3	MGI:2685360
NX_F5H4A9	MGI:1915975
NX_F5H4B4	MGI:1922979
NX_F7VJQ1	MGI:97769
NX_F8VTS6	MGI:2149590
NX_G3V0H7	MGI:1351899
NX_H0UI37	MGI:1924282
NX_H0YL14	MGI:1924939
NX_H3BNL1	MGI:3618861
NX_H3BNL8	MGI:1916676
NX_H3BPM6	MGI:1917541
NX_H3BQB6	MGI:2686420
NX_H3BQJ8	MGI:5313101
NX_H3BQW9	MGI:1915483
NX_H3BR10	MGI:1922856
NX_H3BRN8	MGI:3648770
NX_H3BS89	MGI:3647581
NX_H3BTG2	MGI:1914913
NX_H3BU77	MGI:1922779
NX_H3BV60	MGI:3833469
NX_H7BZ55	MGI:3045962
NX_H7C241	MGI:3645962
NX_H7C350	MGI:3647803
NX_I3L1E1	MGI:5621884
NX_I3L273	MGI:2685427
NX_I3L3R5	MGI:3645242
NX_K7EJ46	MGI:3643379
NX_M0QZC1	MGI:1924198
NX_O00110	MGI:2388075
NX_O00115	MGI:1329019
NX_O00116	MGI:2443065
NX_O00124	MGI:1337129
NX_O00139	MGI:108390
NX_O00141	MGI:1340062
NX_O00142	MGI:1913266
NX_O00144	MGI:1313278
NX_O00148	MGI:1915528
NX_O00151	MGI:1860611
NX_O00154	MGI:1917275
NX_O00155	MGI:2686146
NX_O00159	MGI:106612
NX_O00160	MGI:107711
NX_O00161	MGI:109356
NX_O00165	MGI:1346319
NX_O00167	MGI:109341
NX_O00168	MGI:1889273
NX_O00170	MGI:109622
NX_O00175	MGI:1928953
NX_O00178	MGI:109443
NX_O00180	MGI:109322
NX_O00182	MGI:109496
NX_O00186	MGI:107362
NX_O00187	MGI:1330832
NX_O00189	MGI:1337063
NX_O00192	MGI:109620
NX_O00193	MGI:1929274
NX_O00194	MGI:1931295
NX_O00198	MGI:1201608
NX_O00203	MGI:1333879
NX_O00204	MGI:1926342
NX_O00206	MGI:96824
NX_O00212	MGI:108446
NX_O00213	MGI:107765
NX_O00214	MGI:1928481
NX_O00217	MGI:2385079
NX_O00219	MGI:109599
NX_O00220	MGI:1341090
NX_O00221	MGI:1194908
NX_O00222	MGI:1351345
NX_O00230	MGI:109538
NX_O00231	MGI:1916327
NX_O00232	MGI:1914247
NX_O00233	MGI:1914401
NX_O00237	MGI:109483
NX_O00238	MGI:107191
NX_O00241	MGI:2444824
NX_O00241	MGI:3779828
NX_O00241	MGI:3807521
NX_O00244	MGI:1333855
NX_O00253	MGI:892013
NX_O00254	MGI:1298208
NX_O00255	MGI:1316736
NX_O00257	MGI:1195985
NX_O00258	MGI:2136882
NX_O00264	MGI:1858305
NX_O00267	MGI:1202400
NX_O00268	MGI:2152346
NX_O00270	MGI:1354372
NX_O00273	MGI:1196227
NX_O00287	MGI:2180854
NX_O00291	MGI:1099804
NX_O00292	MGI:2443573
NX_O00294	MGI:109571
NX_O00295	MGI:1861600
NX_O00299	MGI:2148924
NX_O00300	MGI:109587
NX_O00303	MGI:1913335
NX_O00305	MGI:103301
NX_O00308	MGI:1914144
NX_O00311	MGI:1309511
NX_O00321	MGI:99253
NX_O00322	MGI:98911
NX_O00327	MGI:1096381
NX_O00329	MGI:1098211
NX_O00330	MGI:1351627
NX_O00337	MGI:3605073
NX_O00338	MGI:1916333
NX_O00339	MGI:109613
NX_O00341	MGI:2444087
NX_O00358	MGI:1353500
NX_O00391	MGI:1330818
NX_O00398	MGI:1926076
NX_O00399	MGI:1343154
NX_O00400	MGI:1332247
NX_O00401	MGI:1920428
NX_O00408	MGI:2446107
NX_O00409	MGI:1918625
NX_O00410	MGI:1917822
NX_O00411	MGI:1915843
NX_O00418	MGI:1195261
NX_O00421	MGI:1920904
NX_O00422	MGI:1277978
NX_O00422	MGI:3704317
NX_O00423	MGI:1915769
NX_O00425	MGI:1890359
NX_O00429	MGI:1921256
NX_O00442	MGI:1913618
NX_O00443	MGI:1203729
NX_O00444	MGI:101783
NX_O00445	MGI:1926368
NX_O00451	MGI:1195462
NX_O00453	MGI:1096324
NX_O00458	MGI:1316717
NX_O00459	MGI:1098772
NX_O00461	MGI:1920374
NX_O00462	MGI:88175
NX_O00463	MGI:107548
NX_O00468	MGI:87961
NX_O00469	MGI:1347007
NX_O00470	MGI:104717
NX_O00471	MGI:2145645
NX_O00472	MGI:2183438
NX_O00476	MGI:2389216
NX_O00478	MGI:1932036
NX_O00479	MGI:3708112
NX_O00482	MGI:1346834
NX_O00483	MGI:107686
NX_O00487	MGI:1913284
NX_O00488	MGI:1915290
NX_O00499	MGI:108092
NX_O00501	MGI:1276112
NX_O00505	MGI:1100863
NX_O00506	MGI:1891699
NX_O00507	MGI:1313274
NX_O00512	MGI:1924828
NX_O00515	MGI:109343
NX_O00519	MGI:109609
NX_O00522	MGI:1930618
NX_O00526	MGI:98913
NX_O00533	MGI:1098266
NX_O00534	MGI:1915026
NX_O00541	MGI:1890613
NX_O00548	MGI:104659
NX_O00555	MGI:109482
NX_O00559	MGI:1859920
NX_O00560	MGI:1337026
NX_O00562	MGI:1197524
NX_O00566	MGI:1915223
NX_O00567	MGI:1914384
NX_O00570	MGI:98357
NX_O00571	MGI:103064
NX_O00574	MGI:1934582
NX_O00584	MGI:1915445
NX_O00584	MGI:3702087
NX_O00585	MGI:1349182
NX_O00585	MGI:1349183
NX_O00585	MGI:1891386
NX_O00585	MGI:3710514
NX_O00585	MGI:3711256
NX_O00585	MGI:3780156
NX_O00585	MGI:5434896
NX_O00587	MGI:1095404
NX_O00590	MGI:1891697
NX_O00591	MGI:2387597
NX_O00592	MGI:1351317
NX_O00602	MGI:1341158
NX_O00622	MGI:88613
NX_O00623	MGI:2144177
NX_O00624	MGI:2443098
NX_O00625	MGI:1916906
NX_O00626	MGI:1306779
NX_O00628	MGI:1321392
NX_O00629	MGI:1100848
NX_O00631	MGI:1913652
NX_O00634	MGI:1341188
NX_O00635	MGI:2684869
NX_O00712	MGI:103188
NX_O00716	MGI:1096340
NX_O00743	MGI:1915107
NX_O00744	MGI:108061
NX_O00746	MGI:1931148
NX_O00748	MGI:1919153
NX_O00748	MGI:1919611
NX_O00748	MGI:2142491
NX_O00748	MGI:2385905
NX_O00748	MGI:2443170
NX_O00748	MGI:2448547
NX_O00748	MGI:3648740
NX_O00750	MGI:2685045
NX_O00754	MGI:107286
NX_O00755	MGI:98961
NX_O00757	MGI:95491
NX_O00762	MGI:1915862
NX_O00763	MGI:2140940
NX_O00764	MGI:1351869
NX_O00767	MGI:1353437
NX_O00767	MGI:2670997
NX_O00767	MGI:98239
NX_O00767	MGI:98240
NX_O14490	MGI:1346065
NX_O14492	MGI:1345171
NX_O14493	MGI:1313314
NX_O14494	MGI:108412
NX_O14495	MGI:1915166
NX_O14497	MGI:1935147
NX_O14498	MGI:1349645
NX_O14503	MGI:1097714
NX_O14508	MGI:1201787
NX_O14511	MGI:1098246
NX_O14512	MGI:2651588
NX_O14513	MGI:2686394
NX_O14514	MGI:1933736
NX_O14519	MGI:1202069
NX_O14520	MGI:1314647
NX_O14521	MGI:1914175
NX_O14522	MGI:1321152
NX_O14523	MGI:1919014
NX_O14524	MGI:2446113
NX_O14525	MGI:1098567
NX_O14526	MGI:1921265
NX_O14529	MGI:107321
NX_O14530	MGI:2138153
NX_O14531	MGI:1349764
NX_O14543	MGI:1201791
NX_O14544	MGI:1924885
NX_O14545	MGI:1923551
NX_O14548	MGI:106015
NX_O14556	MGI:95653
NX_O14558	MGI:2685325
NX_O14559	MGI:2673998
NX_O14561	MGI:1917566
NX_O14561	MGI:4936891
