UniProt-AC	UniProt-AC_reviewed	UniProt-ID	GeneID	RefSeq	GI	PDB	GO	PIR	MIM	UniGene	Ensembl_Gene	Ensembl_Transcript	Ensembl_Protein	BioGrid	STRING	KEGG	Gene_Name
P36876	P36876	2ABA_RAT	117104	NP_446451.1	2346992; 206297; 206299; 16758910; 118764362; 543717; 149030346		GO:0005829; GO:0098978; GO:0000159; GO:0045202; GO:0051721; GO:0019888; GO:0044877; GO:0048156; GO:0000278; GO:0070262; GO:0006470; GO:0043278	A41805			ENSRNOG00000011158	ENSRNOT00000015318	ENSRNOP00000015318		10116.ENSRNOP00000015318	rno:117104	Ppp2r2a
P36877	P36877	2ABB_RAT	60660	NP_071545.2; XP_017456514.1	149017442; 2828215; 1046868499; 391863; 149017441; 1777373; 50927623; 30575397; 76880455		GO:0005737; GO:0005856; GO:0005829; GO:0016020; GO:0005741; GO:0005739; GO:0000159; GO:0019888; GO:0044877; GO:0007420; GO:0000266; GO:0043653; GO:0000278; GO:0030182; GO:0070262; GO:0043525; GO:0006626; GO:0043666; GO:0007286	S33257			ENSRNOG00000018851	ENSRNOT00000079585	ENSRNOP00000071824		10116.ENSRNOP00000041264	rno:60660	Ppp2r2b
P56932	P56932	2ABD_RAT	246255	NP_653347.2	6435251; 148747146; 7993726		GO:0005829; GO:0005654; GO:0000159; GO:0019888; GO:0051301; GO:0010458; GO:0000278; GO:0070262								10116.ENSRNOP00000023139	rno:246255	Ppp2r2d
P97888	P97888	2ABG_RAT	117256	NP_476457.1	1777374; 5902683; 16923962		GO:0005829; GO:0000159; GO:0019888; GO:0000278; GO:0070262								10116.ENSRNOP00000007293	rno:117256	Ppp2r2c
P22071	P22071	3BHS1_RAT	360348	NP_001007720.3	102580567; 149030521; 55778611; 202531; 59797058; 112769		GO:0005789; GO:0016021; GO:0043231; GO:0030061; GO:0005743; GO:0005758; GO:0003854; GO:0000253; GO:0047024; GO:0102294; GO:0035410; GO:0051287; GO:0016491; GO:0016616; GO:0005496; GO:0004769; GO:0030325; GO:0018879; GO:0008207; GO:0071236; GO:0071320; GO:0071549; GO:0044344; GO:0071372; GO:0071333; GO:0071371; GO:0070301; GO:0032869; GO:0071373; GO:0071288; GO:0071406; GO:0071560; GO:0018894; GO:0016101; GO:0008585; GO:0030851; GO:0021766; GO:0017143; GO:0033327; GO:0008584; GO:0060135; GO:0006082; GO:0030728; GO:0018958; GO:0046470; GO:0006701; GO:0014823; GO:0043279; GO:0046685; GO:0046686; GO:0051592; GO:0051412; GO:0042493; GO:0032355; GO:0045471; GO:0070542; GO:0060992; GO:0009635; GO:0033591; GO:0010288; GO:0010226; GO:0010038; GO:0031667; GO:0014070; GO:0010033; GO:0033197; GO:0006694; GO:0008202; GO:0061370; GO:0018970	A39051								rno:360348	Hsd3b1
P22072	P22072	3BHS2_RAT	682974	NP_001036084.1	238336; 202533; 110835753; 149030522; 112772		GO:0005789; GO:0016021; GO:0043231; GO:0031966; GO:0003854; GO:0102294; GO:0016491; GO:0016616; GO:0004769; GO:0008207; GO:0021766; GO:0051412; GO:0006694	A40378; B39051								rno:682974	Hsd3b
Q62878	Q62878	3BHS4_RAT	108348086; 29632	NP_058961.4; XP_017446814.1	58477387; 388201; 61889129; 1046875449; 3334103; 149030523; 143811356		GO:0005789; GO:0016021; GO:0043231; GO:0031966; GO:0003854; GO:0102294; GO:0016853; GO:0016491; GO:0016616; GO:0004769; GO:0030283; GO:0006702; GO:0006700; GO:0008207; GO:0021766; GO:0033327; GO:0034757; GO:0046686; GO:0051412; GO:0034698; GO:0010288; GO:0006694	A48769			ENSRNOG00000019441	ENSRNOT00000026306	ENSRNOP00000026306		10116.ENSRNOP00000062582	rno:108348086;rno:29632	Hsd3b6
P27364	P27364	3BHS5_RAT	24470	NP_036716.1	204663; 112774; 6981050		GO:0005789; GO:0016021; GO:0043231; GO:0031966; GO:0003854; GO:0000253; GO:0047024; GO:0016491; GO:0016616; GO:0005496; GO:0016229; GO:0008207; GO:0021766; GO:0042448; GO:0050810; GO:0051412; GO:0006694	A37404							10116.ENSRNOP00000026290	rno:24470	Hsd3b5
O35048	O35048	3BHS7_RAT	246211	NP_647545.1	2563999; 21326449; 81861101		GO:0005789; GO:0016021; GO:0043231; GO:0003854; GO:0047016; GO:0016491; GO:0016616; GO:0035754; GO:0008206; GO:0006707; GO:0097421; GO:0001558; GO:0006694								10116.ENSRNOP00000025933	rno:246211	Hsd3b7
D3ZFJ3	D3ZFJ3	3BP1_RAT	300067	NP_001165452.1	285002227; 1270743737		GO:0005912; GO:0005923; GO:0031252; GO:0005829; GO:0030027; GO:0005634; GO:0001891; GO:0005096; GO:0048365; GO:0030215; GO:0017124; GO:0007015; GO:0034329; GO:0016477; GO:0045198; GO:0046847; GO:0051058; GO:0006911; GO:0043547; GO:0032956; GO:0030834; GO:0043535; GO:0097178; GO:0071526				ENSRNOG00000009360	ENSRNOT00000012480	ENSRNOP00000012480		10116.ENSRNOP00000012480	rno:300067	Sh3bp1
Q91Y80	Q91Y80	3BP5_RAT	117186	NP_446463.2	20137191; 109150410; 13928417; 149034181; 124028538		GO:0005737; GO:0030659; GO:0005739; GO:0016604; GO:0004860; GO:0017112; GO:0017124; GO:0035556; GO:0007254; GO:0006469; GO:0061099				ENSRNOG00000052391	ENSRNOT00000082172	ENSRNOP00000071111		10116.ENSRNOP00000026389	rno:117186	Sh3bp5
P46953	P46953	3HAO_RAT	56823	NP_064461.1	4433351; 3929397; 1040694; 9910256		GO:0005623; GO:0005737; GO:0005829; GO:0031966; GO:0000334; GO:0008198; GO:0005506; GO:0019825; GO:0034354; GO:0043420; GO:0009435; GO:0070050; GO:0019805; GO:0046874; GO:0046686; GO:0010043; GO:0006569								10116.ENSRNOP00000043835	rno:56823	Haao
P29266	P29266	3HIDH_RAT	63938	NP_071579.1	149033341; 119851003; 556389; 12585554; 83977457		GO:0005739; GO:0008442; GO:0051287; GO:0050661; GO:0006574	A32867			ENSRNOG00000008063	ENSRNOT00000011069	ENSRNOP00000011069		10116.ENSRNOP00000011069	rno:63938	Hibadh
P23571	P23571	3MG_RAT			1703006; 296859		GO:0042645; GO:0005634; GO:0003905; GO:0003677; GO:0008725; GO:0052822; GO:0052821; GO:0043916; GO:0006284	S12059							10116.ENSRNOP00000027940		Mpg
Q62622	Q62622	4EBP1_RAT	116636	NP_446309.1	468024; 34921255; 16758724		GO:0005737; GO:0005829; GO:0098978; GO:0005634; GO:0099524; GO:0032991; GO:0008190; GO:0051721; GO:0031369; GO:0030371; GO:0071549; GO:0071456; GO:0000082; GO:0008286; GO:0002192; GO:0030324; GO:0031333; GO:0045947; GO:0045931; GO:1990928; GO:0045471; GO:0002931; GO:0031929	A55258			ENSRNOG00000012582	ENSRNOT00000016885	ENSRNOP00000016885	250521	10116.ENSRNOP00000016885	rno:116636	Eif4ebp1
Q794F9	Q794F9	4F2_RAT	50567	NP_001258018.1	402743833; 3582138; 81885889; 149062280; 1389839; 149062278; 38303937		GO:1990184; GO:0016324; GO:0030054; GO:0009986; GO:0016021; GO:0005765; GO:0042470; GO:0016020; GO:0005886; GO:0045202; GO:0003824; GO:0003725; GO:0015175; GO:0005975; GO:1903801; GO:0015804; GO:0043330; GO:0015827							248392	10116.ENSRNOP00000025196	rno:50567	Slc3a2
Q63003	Q63003	5E5_RAT			2498095; 531261		GO:0005634; GO:0003677	JC4163							10116.ENSRNOP00000061430		
P19327	P19327	5HT1A_RAT	24473	NP_036717.1	6981054; 112812; 202541		GO:0043203; GO:0030425; GO:0098982; GO:0005887; GO:0099056; GO:0016020; GO:0043025; GO:0008144; GO:0004930; GO:0004993; GO:0001965; GO:0030594; GO:0090722; GO:0051378; GO:0005102; GO:0007198; GO:0001662; GO:0008283; GO:0007268; GO:0035640; GO:0007186; GO:0007187; GO:0097114; GO:0031117; GO:0042053; GO:0060259; GO:0046883; GO:0014062; GO:2000300; GO:0042428; GO:0007210; GO:0042310	JH0315							10116.ENSRNOP00000013618	rno:24473	Htr1a
P28564	P28564	5HT1B_RAT	25075	NP_071561.1	149019045; 112815; 11560016; 202543; 57510		GO:0044305; GO:0005737; GO:0030425; GO:0005887; GO:0099056; GO:0005886; GO:0099154; GO:0008144; GO:0004930; GO:0004993; GO:0030594; GO:0051378; GO:0099626; GO:0007193; GO:0007198; GO:0046849; GO:0071312; GO:0035690; GO:0071502; GO:0007268; GO:0042756; GO:0007631; GO:0002031; GO:0007187; GO:0014063; GO:0032229; GO:0051967; GO:1904707; GO:0099171; GO:0007205; GO:0050795; GO:0014059; GO:2000300; GO:0042220; GO:0042493; GO:0045471; GO:0051385; GO:0042310	S18637			ENSRNOG00000013042	ENSRNOT00000017411	ENSRNOP00000017411		10116.ENSRNOP00000017411	rno:25075	Htr1b
P28565	P28565	5HT1D_RAT	25323	NP_036984.1; XP_008762430.1; XP_017448642.1; XP_017448643.1; XP_017448644.1; XP_017448645.1; XP_017448646.1; XP_017448647.1	1046887498; 1046887491; 1046887493; 6981056; 149024317; 112820; 149024316; 672054354; 1046887496; 1046887500; 1046887489; 202545		GO:0030425; GO:0005887; GO:0045202; GO:0004930; GO:0004993; GO:0030594; GO:0051378; GO:0007193; GO:0007268; GO:0007187; GO:0014827; GO:0050795; GO:0040012; GO:0009636; GO:0042310	I77467			ENSRNOG00000012038	ENSRNOT00000016046	ENSRNOP00000016047		10116.ENSRNOP00000016047	rno:25323	Htr1d
P30940	P30940	5HT1F_RAT			206901; 398968		GO:0030425; GO:0005887; GO:0045202; GO:0004930; GO:0004993; GO:0030594; GO:0051378; GO:0007193; GO:0007198; GO:0007268; GO:0007187	A47385							10116.ENSRNOP00000000907		Htr1f
P14842	P14842	5HT2A_RAT	29595	NP_058950.1	207068; 149049953; 8393583; 149049954; 576865364; 57856; 112808	4OAJ:B	GO:0030424; GO:0005901; GO:0005623; GO:0070852; GO:0030054; GO:0005737; GO:0031410; GO:0005829; GO:0030425; GO:0043198; GO:0098978; GO:0005887; GO:0099055; GO:0099056; GO:0016020; GO:0043025; GO:0005886; GO:0071886; GO:0008144; GO:0004930; GO:0004993; GO:0001965; GO:0030594; GO:0044877; GO:0051378; GO:0007202; GO:0007568; GO:0014824; GO:0048148; GO:0008219; GO:0006874; GO:0007268; GO:0050966; GO:0050965; GO:0007186; GO:0007187; GO:0007613; GO:0043267; GO:0051967; GO:0014065; GO:0007200; GO:0007208; GO:0008284; GO:0007204; GO:0070374; GO:0045600; GO:0045821; GO:0033674; GO:0043406; GO:0050731; GO:0010513; GO:0045907; GO:0044380; GO:0014059; GO:2000300; GO:0051209; GO:0042493; GO:0019233; GO:0007210; GO:0030431; GO:0001659; GO:0014832	A34863; S02011			ENSRNOG00000010063	ENSRNOT00000013408	ENSRNOP00000013408	248227	10116.ENSRNOP00000013408	rno:29595	Htr2a
P30994	P30994	5HT2B_RAT	29581	NP_058946.1	57305; 398970; 8393586		GO:0005623; GO:0030054; GO:0005737; GO:0030425; GO:0005887; GO:0016020; GO:0043025; GO:0005886; GO:0045202; GO:0008144; GO:0004930; GO:0004993; GO:0001965; GO:0005096; GO:0030594; GO:0051378; GO:0007202; GO:0007610; GO:0019722; GO:0003300; GO:0006874; GO:0071418; GO:1904015; GO:0071502; GO:0019934; GO:0007268; GO:0048598; GO:0070371; GO:0002031; GO:0007186; GO:0007187; GO:0007507; GO:0003007; GO:0035733; GO:0043647; GO:0014827; GO:0034220; GO:0043066; GO:0010507; GO:0060548; GO:0014033; GO:0001755; GO:0014065; GO:0007200; GO:0016310; GO:0051781; GO:0008284; GO:0001819; GO:0050715; GO:0001938; GO:0070374; GO:0043123; GO:0043406; GO:0051000; GO:0010513; GO:0070528; GO:0007205; GO:0050795; GO:0051209; GO:0042493; GO:0007210; GO:0042310	S23562						248214	10116.ENSRNOP00000023829	rno:29581	Htr2b
P08909	P08909	5HT2C_RAT	25187	NP_036897.2	207066; 112817; 17298688; 594144479	2MHO:B	GO:0005623; GO:0009986; GO:0030425; GO:0009897; GO:0005887; GO:0005886; GO:0045202; GO:0071886; GO:0008144; GO:0004930; GO:0004993; GO:0001587; GO:0042802; GO:0030594; GO:0051378; GO:0031100; GO:0001662; GO:0035095; GO:0006874; GO:0019934; GO:0007268; GO:0007631; GO:0007187; GO:0048016; GO:0007626; GO:0045963; GO:0040013; GO:0007200; GO:0007208; GO:0031583; GO:0014057; GO:0051482; GO:0070374; GO:0045600; GO:0014054; GO:0010513; GO:0045907; GO:0032098; GO:0043397; GO:0031644; GO:0051930; GO:0051209; GO:0042493; GO:0007210	A32605							10116.ENSRNOP00000060345	rno:25187	Htr2c
P35563	P35563	5HT3A_RAT	79246	NP_077370.2	139947611; 402246; 1168223; 681916		GO:0030424; GO:0030054; GO:0032154; GO:0005737; GO:0098978; GO:0005887; GO:0099055; GO:0099056; GO:0043005; GO:0043025; GO:0005886; GO:1904602; GO:0045202; GO:0042802; GO:0051378; GO:0022850; GO:0004888; GO:0071363; GO:0007268; GO:0034220; GO:0050877; GO:0032414; GO:0042391; GO:0042220; GO:0045471; GO:0007165	I58179			ENSRNOG00000006595	ENSRNOT00000008965	ENSRNOP00000008965		10116.ENSRNOP00000008965	rno:79246	Htr3a
Q9JJ16	Q9JJ16	5HT3B_RAT	58963	NP_071525.1	8132416; 81868595; 11120504; 11559956		GO:0030424; GO:0009986; GO:0005887; GO:0043005; GO:0043025; GO:0045211; GO:1904602; GO:0045202; GO:0022850; GO:0004888; GO:0071363; GO:0007268; GO:0034220; GO:0050877; GO:0032414; GO:0042391; GO:0007165								10116.ENSRNOP00000009574	rno:58963	Htr3b
Q62758	Q62758	5HT4R_RAT	25324	NP_036985.1	6981060; 2494928; 924641; 3646424; 984172; 924639		GO:0005737; GO:0030425; GO:0005768; GO:0005887; GO:0016020; GO:0045202; GO:0004930; GO:0004993; GO:0030594; GO:0007189; GO:0007268; GO:0050890; GO:0007187; GO:0007214; GO:0032098	S55549; S55550							10116.ENSRNOP00000025892	rno:25324	Htr4
P35364	P35364	5HT5A_RAT	25689	NP_037280.1	310073; 543729; 149031421; 6981062		GO:0030425; GO:0005794; GO:0005887; GO:0099060; GO:0043204; GO:0005791; GO:0004930; GO:0004993; GO:0030594; GO:0051378; GO:0007198; GO:0007420; GO:0019933; GO:0007268; GO:0007187; GO:0021766; GO:0032355	B47472			ENSRNOG00000007066	ENSRNOT00000009317	ENSRNOP00000009317		10116.ENSRNOP00000009317	rno:25689	Htr5a
P35365	P35365	5HT5B_RAT	79247	NP_077371.1	543730; 281306773; 149033135; 310075		GO:0030425; GO:0005887; GO:0016020; GO:0045202; GO:0008144; GO:0004930; GO:0004993; GO:0030594; GO:0051378; GO:0007198; GO:0007268; GO:0007187; GO:0007210	S38744			ENSRNOG00000002549	ENSRNOT00000003441	ENSRNOP00000003441		10116.ENSRNOP00000003441	rno:79247	Htr5b
P31388	P31388	5HT6R_RAT			385709; 1168221; 294508; 310071		GO:0005929; GO:0030425; GO:0005887; GO:0005886; GO:0045202; GO:0004930; GO:0004993; GO:0030594; GO:0007420; GO:0021795; GO:0007268; GO:0007187; GO:0007612; GO:0060291; GO:0014058; GO:0014053; GO:0014050; GO:0033603; GO:0014054; GO:0032008; GO:0042493; GO:0032355	I57942; JN0591			ENSRNOG00000049761	ENSRNOT00000070865	ENSRNOP00000064366	249039	10116.ENSRNOP00000064366		Htr6
P32305	P32305	5HT7R_RAT	103694905; 65032	NP_075227.1; XP_006231369.1; XP_008772122.1; XP_008772123.1	410307; 395368; 1857147; 405557; 672089785; 461440; 564333544; 12621102; 402163; 672089787		GO:0043679; GO:0030425; GO:0005887; GO:0099055; GO:0099056; GO:0043025; GO:0005791; GO:0008021; GO:0004930; GO:0004993; GO:0030594; GO:0007192; GO:0048266; GO:0007268; GO:0007623; GO:0050966; GO:0071542; GO:0007187; GO:0060291; GO:0007613; GO:0060073; GO:0042322; GO:0014063; GO:0010976; GO:2000300; GO:0062086; GO:0051412; GO:0051602; GO:0007210; GO:0014832; GO:0042310	A47519			ENSRNOG00000018827; ENSRNOG00000055705	ENSRNOT00000025450; ENSRNOT00000025493; ENSRNOT00000082732	ENSRNOP00000025450; ENSRNOP00000025493; ENSRNOP00000074238		10116.ENSRNOP00000025450	rno:103694905;rno:65032	Htr7
Q6AYP7	Q6AYP7	5NT3B_RAT	360629	NP_001007724.2; XP_017452886.1	1046849948; 81884635; 156627555; 50926874; 476007825		GO:0005737; GO:0016787; GO:0000287; GO:0000166; GO:0016311; GO:0009117				ENSRNOG00000016475	ENSRNOT00000022430; ENSRNOT00000080006	ENSRNOP00000022430; ENSRNOP00000069295		10116.ENSRNOP00000022430	rno:360629	Nt5c3b
P21588	P21588	5NTD_RAT			112826; 202551		GO:0031225; GO:0009986; GO:0016021; GO:0016020; GO:0005886; GO:0097060; GO:0008253; GO:0008198; GO:0000166; GO:0046086; GO:0046085; GO:0006196; GO:0007420; GO:0007159; GO:0050728; GO:0046889; GO:0010044	A35036							10116.ENSRNOP00000015057		Nt5e
P85968	P85968	6PGD_RAT	100360180	NP_001292364.1	149024656; 205686170; 767806577		GO:0005829; GO:0043231; GO:0030246; GO:0031406; GO:0050661; GO:0004616; GO:0005975; GO:0046177; GO:0019521; GO:0006739; GO:0055114; GO:0019322; GO:0006098; GO:0009051									rno:100360180	Pgd
P85971	P85971	6PGL_RAT			205686171		GO:0005737; GO:0017057; GO:0048029; GO:0005975; GO:0006098; GO:0009051								10116.ENSRNOP00000024827		Pgls
P27682	P27682	7B2_RAT	25719	NP_037307.1	112851; 6981530; 202563; 38494392		GO:0005576; GO:0005634; GO:0030141; GO:0004857; GO:0051082; GO:0006886; GO:0007218; GO:0016486; GO:0046883	A49745						247748	10116.ENSRNOP00000010679	rno:25719	Scg5
P53369	P53369	8ODP_RAT	117260	NP_476461.1; XP_006248973.1	16923968; 149035016; 1703023; 1100747; 149035017; 564378347; 1794164		GO:0001669; GO:0005737; GO:0005829; GO:0005615; GO:0005759; GO:0005739; GO:0031965; GO:0005634; GO:0005886; GO:0035539; GO:0008413; GO:0047693; GO:0036219; GO:0003924; GO:0046872; GO:0030515; GO:0007568; GO:0046061; GO:0006203; GO:0042262; GO:0006281; GO:0008584; GO:0006195; GO:0046686				ENSRNOG00000001260	ENSRNOT00000001700	ENSRNOP00000001700		10116.ENSRNOP00000001700	rno:117260	Nudt1
Q3T1L0	Q3T1L0	A16A1_RAT	361571	NP_001028878.1	123780915; 76096352; 74355737		GO:0016620				ENSRNOG00000020623	ENSRNOT00000027992	ENSRNOP00000027992		10116.ENSRNOP00000027992	rno:361571	Aldh16a1
P02764	P02764	A1AG_RAT	24614	NP_445740.1	202795; 112881; 55560; 202793; 202797; 16757980; 149059589		GO:0005615; GO:0008144; GO:0002438; GO:0006953; GO:0031100; GO:0071385; GO:0071378; GO:0071300; GO:0002439; GO:0032715; GO:0032720; GO:0050718; GO:0050716; GO:1904469; GO:0002682; GO:0042493; GO:0032496; GO:0014070; GO:0033197	A93069							10116.ENSRNOP00000010454	rno:24614	Orm1
P17475	P17475	A1AT_RAT	24648	NP_071964.2; XP_006240518.1; XP_017449521.1	112889; 930263; 51036655; 1046891673; 203063; 220649; 564356994		GO:0005783; GO:0005615; GO:0005794; GO:0004866; GO:0042802; GO:0002020; GO:0004867; GO:0006953; GO:0006954; GO:0010951; GO:1900004; GO:0046687; GO:0034097; GO:0032355; GO:0001666; GO:0010035; GO:0010288; GO:0032496; GO:0033986; GO:0014070; GO:0034014	A33892							10116.ENSRNOP00000012577	rno:24648	Serpina1
Q9EPH1	Q9EPH1	A1BG_RAT	140656	NP_071594.2	59808146; 7739682; 11877348; 149066314; 25453392; 84028169		GO:0005576				ENSRNOG00000004692	ENSRNOT00000006273	ENSRNOP00000006273		10116.ENSRNOP00000006273	rno:140656	A1bg
Q923K9	Q923K9	A1CF_RAT	170912	NP_596891.1	19173760; 15072439; 27462522; 27462520; 81916405; 27462523; 15077247; 27462518		GO:0030895; GO:0005737; GO:0005783; GO:0045293; GO:0005720; GO:0005634; GO:0003729; GO:0003723; GO:0003727; GO:0016554; GO:0007566; GO:0010609; GO:0016556; GO:0006397; GO:0050714; GO:0050821								10116.ENSRNOP00000062802	rno:170912	A1cf
P14046	P14046	A1I3_RAT			204933; 204931; 202572; 554403; 71051724; 112893		GO:0005615; GO:0004866; GO:0002020; GO:0004867	A29952							10116.ENSRNOP00000040516		A1i3
Q63041	Q63041	A1M_RAT	252922	NP_665722.2	307746876; 202857; 149049319; 12084772; 81872093; 205384; 12084773	1EDY:A; 1EDY:B	GO:0005615; GO:0048403; GO:0004866; GO:0048406; GO:0002020; GO:0044877; GO:0004867; GO:0007566	A42210			ENSRNOG00000006709	ENSRNOT00000009467	ENSRNOP00000009467		10116.ENSRNOP00000009467	rno:252922	A1m
P06238	P06238	A2MG_RAT	100911545; 24153	NP_036620.2; XP_003749876.1	871523; 112913; 392347610; 202596; 71051900; 202597; 202592; 158138551; 119370261		GO:0005615; GO:0048403; GO:0048306; GO:0004866; GO:0019899; GO:0019838; GO:0042802; GO:0019966; GO:0019959; GO:0048406; GO:0002020; GO:0004867; GO:0005102; GO:0043120; GO:0002438; GO:0006953; GO:1990402; GO:0001553; GO:0001869; GO:0010951; GO:0010037; GO:0051384; GO:0007584; GO:0034695; GO:0009611; GO:0048863	A26122			ENSRNOG00000028896; ENSRNOG00000045772	ENSRNOT00000019346; ENSRNOT00000075799	ENSRNOP00000019346; ENSRNOP00000066130	246347	10116.ENSRNOP00000019346	rno:100911545;rno:24153	A2m
A0A4Z3	A0A4Z3	A3LT2_RAT	171553	NP_612533.1	9082160; 19924055; 38197640; 123797757; 149024011		GO:0005794; GO:0032580; GO:0016021; GO:0031982; GO:0001962; GO:0046872; GO:0047276; GO:0016757; GO:0005975; GO:0071287; GO:0006688; GO:0030259				ENSRNOG00000005935	ENSRNOT00000007851	ENSRNOP00000007851		10116.ENSRNOP00000007851	rno:171553	A3galt2
Q9JI93	Q9JI93	A4GAT_RAT	63888	NP_071576.1; XP_006242179.1; XP_006242180.1; XP_017450568.1; XP_017450569.1; XP_017450570.1	564361258; 149065761; 1046896943; 564361260; 149065762; 1046896941; 9082162; 1046896945; 11560038; 67677925; 59797638		GO:0000139; GO:0016021; GO:0016020; GO:0008378; GO:0050512; GO:0015643; GO:0001576; GO:0007009				ENSRNOG00000009736	ENSRNOT00000012914	ENSRNOP00000064362		10116.ENSRNOP00000064362	rno:63888	A4galt
